Title,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language,budget_max,Format
"Paul, Apostle of Christ",2018-03-23,108 min,"Adventure, Biography, Drama",5 wins & 5 nominations,52.0,6.6,"8,950",tt7388562,17560475.0,English,5000000.0,others
Final Portrait,2018-03-23,90 min,"Biography, Comedy, Drama",1 nomination,70.0,6.3,"5,817",tt4494718,461972.0,"English, French, Italian",,others
Midnight Sun,2018-03-23,91 min,"Drama, Romance",6 nominations,38.0,6.6,"33,083",tt4799066,9561064.0,English,2800000.0,others
Ready Player One,2018-03-29,140 min,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. 11 wins & 56 nominations total,64.0,7.4,"448,973",tt1677720,137715350.0,English,175000000.0,others
God's Not Dead: A Light in Darkness,2018-03-30,105 min,Drama,3 nominations,33.0,4.4,"4,186",tt6652708,5728940.0,English,0.0,others
Gemini,2018-03-30,93 min,"Crime, Drama, Mystery",1 win & 5 nominations,71.0,5.4,"5,314",tt5795086,200340.0,English,,others
The Last Movie Star,2018-03-30,94 min,Drama,3 wins & 2 nominations,46.0,7.0,"4,584",tt5836316,14410.0,English,0.0,others
A Quiet Place,2018-04-06,90 min,"Drama, Horror, Sci-Fi",Nominated for 1 Oscar. 35 wins & 126 nominations total,82.0,7.5,"542,991",tt6644200,188024361.0,"American Sign , English",17000000.0,others
Blockers,2018-04-06,102 min,"Comedy, Drama",1 win & 6 nominations,69.0,6.2,"81,525",tt2531344,60311495.0,English,21000000.0,others
You Were Never Really Here,2018-04-06,89 min,"Crime, Drama",Nominated for 1 BAFTA Award23 wins & 77 nominations total,84.0,6.7,"122,036",tt5742374,2528078.0,English,,others
Chappaquiddick,2018-04-06,106 min,"Biography, Drama, History",7 nominations,67.0,6.4,"13,919",tt5270948,17395520.0,English,34000000.0,others
Pandas,2018-04-06,42 min,"Documentary, Short",1 win & 1 nomination,82.0,7.3,706,tt7860270,7574012.0,English,0.0,others
Lean on Pete,2018-05-04,121 min,"Adventure, Drama, Sport",11 wins & 18 nominations,80.0,7.2,"13,233",tt5340300,1163056.0,"English, Spanish",8000000.0,others
The Miracle Season,2018-04-06,101 min,"Drama, Sport",1 nomination,44.0,6.5,"5,772",tt5427194,10230620.0,English,0.0,others
Beirut,2018-04-11,109 min,"Action, Crime, Drama",1 nomination,69.0,6.5,"23,345",tt4669264,5019226.0,"English, Arabic, French",0.0,others
Rampage,2018-04-13,107 min,"Action, Adventure, Sci-Fi",7 nominations,45.0,6.1,"173,366",tt2231461,101028233.0,"English, American Sign ",120000000.0,others
Truth or Dare,2018-04-13,100 min,"Horror, Thriller",1 win & 2 nominations,35.0,5.2,"58,482",tt6772950,41411015.0,"English, Spanish",3500000.0,others
The Rider,2018-04-13,104 min,"Drama, Western",25 wins & 56 nominations,91.0,7.4,"19,687",tt6217608,2419031.0,"English, Sioux, Spanish",0.0,others
Sgt. Stubby: An American Hero,2018-04-13,84 min,"Animation, Adventure, Family",23 wins & 7 nominations,58.0,6.9,"2,376",tt5314190,4015935.0,"English, French, German",25000000.0,others
I Feel Pretty,2018-04-20,110 min,"Comedy, Romance",1 win & 5 nominations,48.0,5.6,"55,123",tt6791096,48795601.0,English,32000000.0,others
Super Troopers 2,2018-04-20,99 min,"Comedy, Crime, Mystery",2 wins & 2 nominations,41.0,6.0,"27,266",tt0859635,30617396.0,English,13500000.0,others
Traffik,2018-04-20,96 min,"Action, Thriller",3 nominations,37.0,5.9,"20,841",tt5670152,9186156.0,English,4000000.0,others
The House of Tomorrow,2019-06-20,85 min,"Comedy, Drama",1 win & 1 nomination,58.0,6.1,"2,242",tt5910344,35821.0,English,,others
Liz and the Blue Bird,2018-04-21,90 min,"Animation, Drama, Fantasy",1 win & 4 nominations,67.0,7.1,"1,876",tt7089878,63204.0,"Japanese, English",0.0,others
Avengers: Infinity War,2018-04-27,149 min,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. 46 wins & 79 nominations total,68.0,8.4,"1,107,989",tt4154756,678815482.0,English,300000000.0,others
Disobedience,2018-04-27,114 min,Drama,4 wins & 27 nominations,74.0,6.6,"32,921",tt6108178,3498782.0,"English, Hebrew",6000000.0,others
Backstabbing for Beginners,2018-04-27,108 min,"Drama, History, Romance",1 nomination,48.0,6.3,"5,514",tt5153288,,"English, Persian, French",0.0,others
Action Point,2018-06-01,85 min,Comedy,,36.0,5.1,"11,809",tt6495770,5059608.0,English,19000000.0,others
Adrift,2018-06-01,96 min,"Action, Adventure, Biography",5 nominations,56.0,6.6,"58,470",tt6306064,31445012.0,"English, French",35000000.0,others
Upgrade,2018-06-01,100 min,"Action, Sci-Fi, Thriller",3 wins & 26 nominations,67.0,7.5,"191,226",tt6499752,11977130.0,"English, Dutch",5000000.0,others
American Animals,2018-08-14,116 min,"Biography, Crime, Drama",10 wins & 22 nominations,68.0,7.0,"46,630",tt6212478,2856954.0,"English, Dutch",3000000.0,others
Social Animals,2018-06-01,90 min,Comedy,,37.0,5.3,"1,902",tt5639898,5007.0,English,0.0,others
Ocean's 8: Reimagining the Met Gala,2018-09-11,13 min,"Documentary, Short",,,7.1,21,tt9108974,,English,,others
Won't You Be My Neighbor?,2018-06-29,95 min,"Documentary, Biography",54 wins & 34 nominations,85.0,8.3,"26,192",tt7681902,22835787.0,"English, Hebrew",0.0,others
Hereditary,2018-06-08,127 min,"Drama, Horror, Mystery",48 wins & 112 nominations,87.0,7.3,"334,055",tt7784604,44069456.0,"English, Spanish",10000000.0,others
Hotel Artemis,2018-06-08,94 min,"Action, Crime, Drama",1 win & 1 nomination,58.0,6.1,"55,254",tt5834262,6708147.0,"English, French",15000000.0,others
SuperFly,2018-06-13,116 min,"Action, Crime, Thriller",,52.0,5.2,"7,309",tt7690670,20545116.0,"English, Spanish, Cantonese",16000000.0,others
Incredibles 2,2018-06-15,118 min,"Animation, Action, Adventure",Nominated for 1 Oscar. 12 wins & 81 nominations total,80.0,7.6,"305,694",tt3606756,608581744.0,English,200000000.0,others
Tag,2018-06-15,100 min,"Action, Comedy",3 nominations,56.0,6.5,"137,681",tt2854926,54730625.0,"English, Spanish",28000000.0,others
On Chesil Beach,2018-05-18,110 min,"Drama, Music, Romance",,62.0,6.3,"11,720",tt1667321,745971.0,English,745971.0,others
Gotti,2018-06-14,112 min,"Biography, Crime, Drama",7 nominations,24.0,4.7,"16,021",tt1801552,4343227.0,English,10000000.0,others
Jurassic World: Fallen Kingdom,2018-06-22,128 min,"Action, Adventure, Sci-Fi",4 wins & 26 nominations,51.0,6.1,"324,475",tt4881806,417719760.0,"English, Russian",170000000.0,others
Boundaries,2018-09-13,104 min,"Comedy, Drama",5 nominations,50.0,5.5,"2,470",tt5686062,703438.0,English,0.0,others
Damsel,2018-06-22,113 min,"Comedy, Drama, Western",3 nominations,63.0,5.6,"5,550",tt5881528,305136.0,English,0.0,others
The Domestics,2018-06-29,95 min,"Action, Horror, Sci-Fi",,,5.7,"10,216",tt5591666,,English,0.0,others
Sicario: Day of the Soldado,2018-06-29,122 min,"Action, Crime, Drama",1 win & 7 nominations,61.0,7.0,"154,216",tt5052474,50072235.0,"English, Spanish, American Sign , Arabic, Somali, Spanish Sign ",35000000.0,others
