Title,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language,budget_max,Format
The Sonata,2020-01-10,90 min,"Music, Mystery, Thriller",2 wins & 10 nominations,41.0,5.2,"1,462",tt7149066,,"English, French",0.0,others
The Murder of Nicole Brown Simpson,2019-12-09,82 min,"Crime, Horror, Mystery",,,2.5,"1,797",tt8415352,,English,0.0,others
A Fall from Grace,2020-01-17,120 min,Thriller,2 wins,34.0,5.9,"16,133",tt11390036,,English,0.0,netflix
John Henry,2020-01-24,91 min,"Drama, Thriller",,27.0,3.6,"2,432",tt8170298,,English,0.0,others
Timmy Failure: Mistakes Were Made,2020-02-07,99 min,"Adventure, Comedy, Drama",5 nominations,60.0,6.0,"3,137",tt6820324,,English,45000000.0,others
Horse Girl,2020-02-07,103 min,"Drama, Mystery, Thriller",1 win & 1 nomination,61.0,6.0,"18,581",tt11388406,,English,0.0,netflix
To All the Boys: P.S. I Still Love You,2020-02-12,101 min,"Comedy, Drama, Romance",3 wins & 4 nominations,54.0,6.0,"41,344",tt9354842,,English,0.0,netflix
Spy Intervention,2020-02-14,93 min,"Action, Adventure, Comedy",,,3.9,"1,950",tt7369550,,English,0.0,others
The Last Thing He Wanted,2020-02-21,115 min,"Crime, Drama, Thriller",1 win & 1 nomination,35.0,4.3,"15,991",tt7456312,,"English, Spanish, French",0.0,netflix
The Night Clerk,2020-02-21,90 min,"Crime, Drama, Mystery",,44.0,5.6,"16,841",tt7979142,,English,0.0,others
All the Bright Places,2020-02-28,107 min,"Drama, Romance",1 win,61.0,6.6,"34,194",tt3907584,,English,0.0,netflix
Guns Akimbo,2020-02-28,98 min,"Action, Comedy, Crime",,42.0,6.3,"63,877",tt6902676,,"English, Spanish",0.0,others
Spenser Confidential,2020-03-06,111 min,"Action, Comedy, Crime",2 nominations,49.0,6.2,"91,807",tt8629748,,"English, Hindi",0.0,netflix
The Banker,2020-03-20,120 min,"Biography, Drama",3 wins & 7 nominations,59.0,7.3,"30,671",tt6285944,,English,0.0,others
Lost Girls,2020-03-13,95 min,"Crime, Drama, Mystery",1 win,67.0,6.1,"22,875",tt3111426,,English,0.0,netflix
Big Time Adolescence,2020-03-13,91 min,"Comedy, Drama",1 nomination,64.0,6.9,"14,429",tt3824648,,English,0.0,others
Lost Transmissions,2020-03-13,105 min,Drama,4 wins & 2 nominations,51.0,5.1,"1,114",tt6744360,,English,0.0,others
Uncorked,2020-03-27,104 min,Drama,,62.0,6.4,"6,369",tt9261218,,"English, French",0.0,netflix
Vivarium,2020-03-27,97 min,"Horror, Mystery, Sci-Fi",3 wins & 10 nominations,64.0,5.8,"62,908",tt8368406,,English,3947600.0,others
Love Wedding Repeat,2020-04-10,100 min,"Comedy, Romance",,41.0,5.5,"21,160",tt5096470,,English,0.0,netflix
The Lost Husband,2020-04-10,109 min,"Drama, Romance",1 nomination,49.0,6.1,"5,141",tt4257940,,English,0.0,others
Corona Zombies,2020-04-10,61 min,"Comedy, Horror",2 nominations.,,2.5,689,tt12098392,,English,0.0,others
Sergio,2020-04-17,118 min,"Biography, Drama, History",1 win & 1 nomination,55.0,6.2,"10,352",tt8750570,,"English, Portuguese, Spanish, French",16000000.0,netflix
The Willoughbys,2020-04-22,90 min,"Animation, Adventure, Comedy",16 nominations,68.0,6.3,"20,091",tt5206260,,English,0.0,netflix
Extraction,2020-04-24,116 min,"Action, Thriller",4 wins & 15 nominations,56.0,6.7,"209,700",tt8936646,,"English, Hindi, Bengali",65000000.0,netflix
Braking for Whales,2020-04-24,103 min,"Comedy, Drama",,,4.9,484,tt2305326,,English,0.0,others
Dangerous Lies,2020-04-30,96 min,Thriller,2 wins & 1 nomination,51.0,5.3,"17,773",tt10183816,,English,0.0,netflix
All Day and a Night,2020-05-01,121 min,Drama,2 nominations,60.0,6.0,"4,029",tt3993886,,English,0.0,netflix
The Half of It,2020-05-01,104 min,"Comedy, Drama, Romance",3 wins & 11 nominations,74.0,6.9,"39,660",tt9683478,,"Spanish, English, Mandarin, French, Hindi",0.0,netflix
Arkansas,2020-05-05,117 min,"Crime, Thriller",,55.0,6.0,"13,192",tt9139586,,English,0.0,others
Capone,2020-05-12,103 min,"Biography, Crime, Drama",1 nomination,46.0,4.7,"21,661",tt6199572,,"English, Italian, Spanish",20600000.0,others
The Wrong Missy,2020-05-13,90 min,"Comedy, Romance",5 nominations,33.0,5.7,"41,569",tt9619798,,English,0.0,netflix
Blood and Money,2020-05-15,89 min,"Drama, Thriller",,40.0,5.2,"2,409",tt9248110,,English,475000.0,others
Body Cam,2020-05-18,96 min,"Action, Adventure, Crime",,37.0,5.3,"7,070",tt8179024,,English,0.0,others
The Lovebirds,2020-05-22,86 min,"Action, Comedy, Crime",2 wins & 3 nominations,59.0,6.1,"26,708",tt8851668,,English,0.0,netflix
Inheritance,2020-05-22,111 min,"Drama, Mystery, Thriller",,31.0,5.5,"17,079",tt7923220,,English,0.0,others
Survive the Night,2020-05-22,90 min,"Action, Drama, Thriller",1 nomination,26.0,4.0,"11,567",tt10303324,,English,0.0,others
The Wanting Mare,2021-02-05,89 min,"Drama, Fantasy, Mystery",2 wins,67.0,5.3,546,tt2267554,,English,0.0,others
The High Note,2020-05-29,113 min,"Drama, Music, Romance",1 win & 8 nominations,58.0,6.4,"12,442",tt9308382,,English,0.0,others
Shirley,2020-06-05,107 min,"Biography, Drama, Horror",4 wins & 25 nominations,76.0,6.1,"12,144",tt8430598,,English,0.0,others
The Last Days of American Crime,2020-06-05,148 min,"Action, Crime, Drama",,15.0,3.8,"11,891",tt1552211,,English,0.0,netflix
Think Like a Dog,2020-07-06,91 min,"Comedy, Drama, Family",1 win,,5.2,"1,940",tt5929654,,English,0.0,others
Da 5 Bloods,2020-06-12,154 min,"Adventure, Drama, War",Nominated for 1 Oscar. 41 wins & 198 nominations total,82.0,6.5,"52,777",tt9777644,,"English, Finnish, French, Vietnamese",45000000.0,netflix
Artemis Fowl,2020-06-12,95 min,"Adventure, Family, Fantasy",2 nominations,31.0,4.2,"29,278",tt3089630,,"English, Italian",125000000.0,others
The King of Staten Island,2020-06-12,136 min,"Comedy, Drama",3 wins & 24 nominations,67.0,7.1,"71,383",tt9686708,,English,0.0,others
Sniper: Assassin's End,2020-06-16,95 min,"Action, Thriller",3 nominations.,,5.4,"1,536",tt12305696,,"English, Japanese",0.0,others
You Should Have Left,2020-06-18,93 min,"Horror, Thriller",,46.0,5.4,"22,965",tt8201852,,English,0.0,others
Wasp Network,2020-06-19,127 min,"Crime, Drama, Thriller",1 win & 3 nominations,54.0,5.9,"11,177",tt6760876,,"Spanish, English, Russian, Italian",0.0,others
Feel the Beat,2020-06-19,109 min,"Comedy, Drama, Family",1 win & 3 nominations,,6.3,"12,045",tt10714856,,English,0.0,netflix
7500,2020-06-18,93 min,"Action, Drama, Thriller",2 wins & 8 nominations,58.0,6.3,"30,260",tt6436726,,"English, German, Turkish, Arabic",0.0,others
Athlete A,2020-06-24,103 min,"Documentary, Crime, Sport",4 wins & 9 nominations,85.0,7.6,"11,629",tt11905462,,English,0.0,others
Eurovision Song Contest: The Story of Fire Saga,2020-06-26,123 min,"Comedy, Musical",Nominated for 1 Oscar. 6 wins & 28 nominations total,50.0,6.5,"96,934",tt8580274,,"English, Icelandic, Portuguese",0.0,netflix
Irresistible,2020-06-26,101 min,"Comedy, Drama",1 nomination,47.0,6.3,"21,822",tt9076562,,English,0.0,others
My Spy,2020-06-26,99 min,"Action, Comedy",,46.0,6.3,"32,042",tt8242084,,"English, French, Russian",0.0,others
We Bare Bears: The Movie,2020-06-30,69 min,"Animation, Adventure, Comedy",,,6.7,"2,194",tt10474606,,English,0.0,others
Hamilton,2020-07-03,160 min,"Biography, Drama, History",Won 2 Primetime Emmys. 19 wins & 46 nominations total,89.0,8.4,"99,468",tt8503618,,English,0.0,others
Desperados,2020-07-03,105 min,"Comedy, Romance",1 win,41.0,5.2,"10,716",tt1545304,,English,0.0,netflix
The Old Guard,2020-07-10,125 min,"Action, Thriller",5 wins & 24 nominations,70.0,6.6,"170,607",tt7556122,,"English, Arabic, French, Italian",70000000.0,netflix
Money Plane,2020-07-10,82 min,"Comedy, Crime, Thriller",,,3.2,"5,265",tt7286966,,English,838109.0,others
Greyhound,2020-07-10,91 min,"Action, Drama, History",Nominated for 1 Oscar. 1 win & 23 nominations total,64.0,7.0,"101,679",tt6048922,,English,50300000.0,others
Fatal Affair,2020-07-16,89 min,Thriller,1 win,34.0,4.6,"6,343",tt11057594,,English,0.0,netflix
A Nice Girl Like You,2020-07-17,94 min,"Comedy, Romance",,41.0,5.1,"5,941",tt3278540,,"English, French",6100000.0,others
Ghosts of War,2020-07-17,94 min,"Fantasy, Horror, Thriller",,38.0,5.6,"10,956",tt6508228,,English,0.0,others
The Kissing Booth 2,2020-07-24,134 min,"Comedy, Romance",2 wins,39.0,5.7,"33,630",tt9784456,,English,0.0,netflix
Deep Blue Sea 3,2020-07-29,100 min,"Action, Horror, Sci-Fi",,,4.7,"6,360",tt11946300,,English,5000000.0,others
Black Is King,2020-07-31,85 min,"Adventure, Drama, Fantasy",Won 1 Primetime Emmy. 2 wins & 9 nominations total,84.0,5.8,"9,072",tt12607910,,English,0.0,others
The Secret: Dare to Dream,2020-07-31,107 min,"Drama, Romance",2 nominations,32.0,6.5,"15,138",tt4411584,,English,21000000.0,others
An American Pickle,2020-08-06,88 min,"Comedy, Fantasy",1 win & 1 nomination,58.0,5.7,"24,780",tt9059704,,"English, Hebrew",0.0,others
Waiting for the Barbarians,2020-08-07,112 min,Drama,1 win & 3 nominations,52.0,5.9,"13,074",tt6149154,,English,0.0,others
Project Power,2020-08-14,113 min,"Action, Crime, Sci-Fi",2 wins & 7 nominations,51.0,6.0,"91,867",tt7550000,,"English, Spanish",0.0,netflix
Magic Camp,2020-08-14,100 min,"Comedy, Family, Fantasy",,,6.3,"4,596",tt3979300,,English,24000000.0,others
Boys State,2020-08-14,109 min,Documentary,Won 1 Primetime Emmy. 17 wins & 26 nominations total,84.0,7.6,"5,321",tt11095742,,English,0.0,others
The One and Only Ivan,2020-08-21,95 min,"Adventure, Comedy, Drama",Nominated for 1 Oscar. 2 wins & 5 nominations total,58.0,6.5,"12,751",tt3661394,,English,0.0,others
Hard Kill,2020-08-21,98 min,"Action, Thriller",1 nomination,,3.0,"19,081",tt11656172,,English,0.0,others
Chemical Hearts,2020-08-21,93 min,"Drama, Romance",,57.0,6.3,"13,774",tt5843876,,English,0.0,others
I'm Thinking of Ending Things,2020-09-04,134 min,"Drama, Thriller",15 wins & 110 nominations,78.0,6.6,"90,698",tt7939766,,"English, Spanish",0.0,netflix
Phineas and Ferb the Movie: Candace Against the Universe,2020-08-28,86 min,"Animation, Adventure, Comedy",1 win & 4 nominations,77.0,7.1,"4,845",tt1817232,,English,,others
All Together Now,2020-08-28,92 min,Drama,,64.0,6.5,"4,719",tt3155342,,English,0.0,netflix
Fatima,2020-08-28,113 min,"Drama, War",,50.0,6.6,"3,602",tt2197936,,English,0.0,others
"Love, Guaranteed",2020-09-03,90 min,"Comedy, Romance",1 win & 3 nominations,39.0,5.6,"18,099",tt11100856,,English,0.0,netflix
Critical Thinking,2020-09-04,117 min,Drama,,65.0,6.4,"2,272",tt7870102,,"English, Spanish",0.0,others
The Owners,2021-02-22,92 min,"Comedy, Crime, Horror",1 win & 2 nominations,54.0,4.9,"8,362",tt9806370,,English,0.0,others
Guest House,2020-09-04,84 min,Comedy,,,4.4,"2,344",tt10054316,,,0.0,others
The Babysitter: Killer Queen,2020-09-10,101 min,"Comedy, Horror",2 nominations.,22.0,5.8,"44,804",tt11024272,,English,0.0,netflix
Unpregnant,2020-09-10,103 min,"Comedy, Drama",2 wins & 4 nominations,61.0,6.5,"8,774",tt10556022,,English,0.0,others
The Devil All the Time,2020-09-10,138 min,"Crime, Drama, Thriller",3 nominations,55.0,7.1,"140,688",tt7395114,,English,0.0,others
I Met a Girl,2020-09-11,108 min,"Drama, Romance",1 nomination,,6.1,"1,381",tt9731360,,English,0.0,others
