Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,original_language,release_date,budget,revenue
Timmy Failure: Mistakes Were Made,2020,07 Feb 2020,99 min,"Adventure, Comedy, Drama",5 nominations,60.0,6.0,"3,137",tt6820324,,en,2020-01-25,45000000.0,0.0
Horse Girl,2020,07 Feb 2020,103 min,"Drama, Mystery, Thriller",1 win & 1 nomination,61.0,6.0,"18,581",tt11388406,,en,2020-01-27,0.0,0.0
Horse Girl,2020,07 Feb 2020,103 min,"Drama, Mystery, Thriller",1 win & 1 nomination,61.0,6.0,"18,581",tt11388406,,en,2019-11-16,0.0,0.0
To All the Boys: P.S. I Still Love You,2020,12 Feb 2020,101 min,"Comedy, Drama, Romance",3 wins & 4 nominations,54.0,6.0,"41,344",tt9354842,,en,2020-02-12,0.0,0.0
Sonic the Hedgehog,2020,14 Feb 2020,99 min,"Action, Adventure, Comedy",3 wins & 12 nominations,47.0,6.5,"144,508",tt3794354,"$148,974,665",en,2020-02-12,85000000.0,319715683.0
Fantasy Island,2020,14 Feb 2020,109 min,"Fantasy, Horror, Mystery",5 nominations,22.0,4.9,"54,496",tt0983946,"$27,309,289",en,2020-02-12,7000000.0,49447308.0
The Photograph,2020,14 Feb 2020,106 min,"Drama, Romance",1 win & 3 nominations,62.0,6.1,"5,817",tt7798646,"$20,578,185",en,2020-02-14,16000000.0,20690779.0
The Photograph,2020,14 Feb 2020,106 min,"Drama, Romance",1 win & 3 nominations,62.0,6.1,"5,817",tt7798646,"$20,578,185",en,2021-10-14,0.0,0.0
The Photograph,2020,14 Feb 2020,106 min,"Drama, Romance",1 win & 3 nominations,62.0,6.1,"5,817",tt7798646,"$20,578,185",tr,2018-11-18,0.0,0.0
Downhill,2020,14 Feb 2020,86 min,"Comedy, Drama",1 win & 2 nominations,49.0,4.9,"13,034",tt4558376,"$8,287,061",en,2020-02-06,0.0,7547254.0
Downhill,2020,14 Feb 2020,86 min,"Comedy, Drama",1 win & 2 nominations,49.0,4.9,"13,034",tt4558376,"$8,287,061",en,2018-05-01,0.0,0.0
Downhill,2020,14 Feb 2020,86 min,"Comedy, Drama",1 win & 2 nominations,49.0,4.9,"13,034",tt4558376,"$8,287,061",en,2021-05-07,0.0,0.0
Spy Intervention,2020,14 Feb 2020,93 min,"Action, Adventure, Comedy",,,3.9,"1,950",tt7369550,,en,2020-02-14,0.0,0.0
The Kindness of Strangers,2019,14 Feb 2020,112 min,Drama,4 nominations,32.0,6.5,"4,534",tt6515910,"$2,705",en,2019-12-12,0.0,0.0
The Call of the Wild,2020,21 Feb 2020,100 min,"Adventure, Drama, Family",1 win & 7 nominations,48.0,6.7,"51,950",tt7504726,"$62,342,368",en,2020-02-19,109000000.0,111202881.0
The Call of the Wild,2020,21 Feb 2020,100 min,"Adventure, Drama, Family",1 win & 7 nominations,48.0,6.7,"51,950",tt7504726,"$62,342,368",cs,2019-03-08,0.0,0.0
The Call of the Wild,2020,21 Feb 2020,100 min,"Adventure, Drama, Family",1 win & 7 nominations,48.0,6.7,"51,950",tt7504726,"$62,342,368",cs,2019-03-08,0.0,0.0
Emma,1996,30 Aug 1996,120 min,"Comedy, Drama, Romance",Won 1 Oscar. 3 wins & 7 nominations total,66.0,6.6,"40,088",tt0116191,"$22,231,658",it,2020-12-01,0.0,0.0
Emma,1996,30 Aug 1996,120 min,"Comedy, Drama, Romance",Won 1 Oscar. 3 wins & 7 nominations total,66.0,6.6,"40,088",tt0116191,"$22,231,658",es,2018-02-08,0.0,0.0
Emma,1996,30 Aug 1996,120 min,"Comedy, Drama, Romance",Won 1 Oscar. 3 wins & 7 nominations total,66.0,6.6,"40,088",tt0116191,"$22,231,658",es,2019-10-08,0.0,0.0
Emma,1996,30 Aug 1996,120 min,"Comedy, Drama, Romance",Won 1 Oscar. 3 wins & 7 nominations total,66.0,6.6,"40,088",tt0116191,"$22,231,658",en,2021-11-05,0.0,0.0
Emma,1996,30 Aug 1996,120 min,"Comedy, Drama, Romance",Won 1 Oscar. 3 wins & 7 nominations total,66.0,6.6,"40,088",tt0116191,"$22,231,658",fr,2019-01-01,0.0,0.0
Emma,1996,30 Aug 1996,120 min,"Comedy, Drama, Romance",Won 1 Oscar. 3 wins & 7 nominations total,66.0,6.6,"40,088",tt0116191,"$22,231,658",es,2021-11-18,0.0,0.0
Emma,1996,30 Aug 1996,120 min,"Comedy, Drama, Romance",Won 1 Oscar. 3 wins & 7 nominations total,66.0,6.6,"40,088",tt0116191,"$22,231,658",en,2019-06-18,0.0,0.0
The Last Thing He Wanted,2020,21 Feb 2020,115 min,"Crime, Drama, Thriller",1 win & 1 nomination,35.0,4.3,"15,991",tt7456312,,en,2020-02-14,0.0,0.0
Brahms: The Boy II,2020,21 Feb 2020,86 min,"Drama, Horror, Mystery",2 nominations,29.0,4.7,"18,744",tt9173418,"$12,611,536",en,2020-02-20,10000000.0,20311536.0
The Night Clerk,2020,21 Feb 2020,90 min,"Crime, Drama, Mystery",,44.0,5.6,"16,841",tt7979142,,en,2020-02-19,0.0,0.0
Impractical Jokers: The Movie,2020,28 Feb 2020,92 min,Comedy,,39.0,5.8,"6,821",tt9208444,"$10,691,091",en,2020-02-21,3000000.0,10700000.0
The Invisible Man,2020,28 Feb 2020,124 min,"Drama, Horror, Mystery",43 wins & 84 nominations,72.0,7.1,"234,861",tt1051906,"$70,410,000",en,2020-02-26,7000000.0,144492724.0
The Invisible Man,2020,28 Feb 2020,124 min,"Drama, Horror, Mystery",43 wins & 84 nominations,72.0,7.1,"234,861",tt1051906,"$70,410,000",en,2021-05-08,150.0,0.0
All the Bright Places,2020,28 Feb 2020,107 min,"Drama, Romance",1 win,61.0,6.6,"34,194",tt3907584,,en,2020-02-28,0.0,0.0
Wendy,2020,17 Apr 2020,111 min,"Drama, Fantasy",6 nominations,55.0,5.7,"3,564",tt2420124,"$143,518",en,2020-02-28,5000000.0,0.0
Guns Akimbo,2019,28 Feb 2020,98 min,"Action, Comedy, Crime",,42.0,6.3,"63,877",tt6902676,,en,2020-02-27,0.0,835102.0
Onward,2020,06 Mar 2020,102 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 4 wins & 66 nominations total,61.0,7.4,"155,178",tt7146812,"$61,555,145",en,2020-02-29,200000000.0,141940042.0
Onward,2020,06 Mar 2020,102 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 4 wins & 66 nominations total,61.0,7.4,"155,178",tt7146812,"$61,555,145",tl,2021-09-04,100.0,0.0
The Way Back,2010,21 Jan 2011,133 min,"Adventure, Drama, History",Nominated for 1 Oscar. 4 wins & 5 nominations total,66.0,7.3,"118,717",tt1023114,"$2,701,859",en,2020-03-05,0.0,14590514.0
The Way Back,2010,21 Jan 2011,133 min,"Adventure, Drama, History",Nominated for 1 Oscar. 4 wins & 5 nominations total,66.0,7.3,"118,717",tt1023114,"$2,701,859",fr,2019-09-18,0.0,0.0
Spenser Confidential,2020,06 Mar 2020,111 min,"Action, Comedy, Crime",2 nominations,49.0,6.2,"91,807",tt8629748,,en,2020-03-06,0.0,0.0
The Banker,2020,20 Mar 2020,120 min,"Biography, Drama",3 wins & 7 nominations,59.0,7.3,"30,671",tt6285944,,en,2020-03-06,0.0,0.0
The Burnt Orange Heresy,2019,06 Mar 2020,99 min,"Drama, Thriller",1 win & 1 nomination,57.0,6.1,"5,401",tt8342680,"$144,201",en,2020-03-06,0.0,0.0
Swallow,2019,05 Jun 2020,94 min,"Drama, Thriller",16 wins & 22 nominations,65.0,6.5,"25,238",tt8372298,"$33,419",en,2021-10-01,0.0,0.0
Swallow,2019,05 Jun 2020,94 min,"Drama, Thriller",16 wins & 22 nominations,65.0,6.5,"25,238",tt8372298,"$33,419",en,2021-10-01,0.0,0.0
Swallow,2019,05 Jun 2020,94 min,"Drama, Thriller",16 wins & 22 nominations,65.0,6.5,"25,238",tt8372298,"$33,419",en,2020-01-15,0.0,0.0
Swallow,2019,05 Jun 2020,94 min,"Drama, Thriller",16 wins & 22 nominations,65.0,6.5,"25,238",tt8372298,"$33,419",zh,2021-10-23,0.0,0.0
First Cow,2019,10 Jul 2020,122 min,"Drama, Western",28 wins & 161 nominations,89.0,7.1,"19,775",tt9231040,"$101,068",en,2020-03-06,0.0,101068.0
Bloodshot,2020,13 Mar 2020,109 min,"Action, Adventure, Sci-Fi",1 win & 7 nominations,44.0,5.7,"80,280",tt1634106,"$12,561,824",en,2020-03-05,42000000.0,39861118.0
The Hunt,2012,10 Jan 2013,115 min,Drama,Nominated for 1 Oscar. 38 wins & 73 nominations total,77.0,8.3,"336,378",tt2106476,"$613,308",en,2020-03-11,14000000.0,10550350.0
The Hunt,2012,10 Jan 2013,115 min,Drama,Nominated for 1 Oscar. 38 wins & 73 nominations total,77.0,8.3,"336,378",tt2106476,"$613,308",en,2021-04-26,0.0,0.0
The Hunt,2012,10 Jan 2013,115 min,Drama,Nominated for 1 Oscar. 38 wins & 73 nominations total,77.0,8.3,"336,378",tt2106476,"$613,308",en,2021-04-26,0.0,0.0
The Hunt,2012,10 Jan 2013,115 min,Drama,Nominated for 1 Oscar. 38 wins & 73 nominations total,77.0,8.3,"336,378",tt2106476,"$613,308",es,2022-04-23,400.0,0.0
The Hunt,2012,10 Jan 2013,115 min,Drama,Nominated for 1 Oscar. 38 wins & 73 nominations total,77.0,8.3,"336,378",tt2106476,"$613,308",tr,2020-10-16,0.0,0.0
The Hunt,2012,10 Jan 2013,115 min,Drama,Nominated for 1 Oscar. 38 wins & 73 nominations total,77.0,8.3,"336,378",tt2106476,"$613,308",en,2019-09-14,0.0,0.0
The Hunt,2012,10 Jan 2013,115 min,Drama,Nominated for 1 Oscar. 38 wins & 73 nominations total,77.0,8.3,"336,378",tt2106476,"$613,308",pl,2019-05-29,0.0,0.0
I Still Believe,2020,13 Mar 2020,116 min,"Biography, Drama, Music",1 win & 2 nominations,41.0,6.4,"12,568",tt9779516,"$9,868,521",en,2020-03-12,0.0,0.0
Lost Girls,2020,13 Mar 2020,95 min,"Crime, Drama, Mystery",1 win,67.0,6.1,"22,875",tt3111426,,en,2020-01-28,0.0,0.0
The Roads Not Taken,2020,13 Mar 2020,85 min,Drama,2 nominations,42.0,5.2,"2,528",tt9411866,"$3,518",en,2020-03-13,0.0,0.0
Never Rarely Sometimes Always,2020,03 Apr 2020,101 min,Drama,31 wins & 120 nominations,92.0,7.4,"29,578",tt7772582,"$16,565",en,2020-03-13,0.0,407807.0
Big Time Adolescence,2019,13 Mar 2020,91 min,"Comedy, Drama",1 nomination,64.0,6.9,"14,429",tt3824648,,en,2020-03-13,0.0,0.0
Lost Transmissions,2019,13 Mar 2020,105 min,Drama,4 wins & 2 nominations,51.0,5.1,"1,114",tt6744360,,en,2020-03-13,0.0,0.0
Resistance,2020,27 Mar 2020,120 min,"Biography, Drama, History",2 nominations,53.0,6.5,"7,904",tt6914122,"$7,464",en,2020-03-27,0.0,449753.0
Resistance,2020,27 Mar 2020,120 min,"Biography, Drama, History",2 nominations,53.0,6.5,"7,904",tt6914122,"$7,464",pt,2019-04-10,0.0,0.0
Uncorked,2020,27 Mar 2020,104 min,Drama,,62.0,6.4,"6,369",tt9261218,,en,2020-03-27,0.0,0.0
Vivarium,2019,27 Mar 2020,97 min,"Horror, Mystery, Sci-Fi",3 wins & 10 nominations,64.0,5.8,"62,908",tt8368406,,en,2019-09-07,3947600.0,487625.0
Coffee,2004,04 Sep 2004,10 min,"Short, Comedy, Romance",,,5.7,97,tt0421122,,ta,2022-11-27,0.0,0.0
Coffee,2004,04 Sep 2004,10 min,"Short, Comedy, Romance",,,5.7,97,tt0421122,,es,2021-05-13,0.0,0.0
Trolls World Tour Dance Party Edition,2020,,94 min,Music,,,,,tt13238214,,,,,
Love Wedding Repeat,2020,10 Apr 2020,100 min,"Comedy, Romance",,41.0,5.5,"21,160",tt5096470,,en,2020-04-10,0.0,0.0
The Main Event,1979,22 Jun 1979,112 min,"Comedy, Romance, Sport",4 wins & 5 nominations,,5.5,"3,015",tt0079510,"$42,800,000",en,2020-04-10,0.0,0.0
The Main Event,1979,22 Jun 1979,112 min,"Comedy, Romance, Sport",4 wins & 5 nominations,,5.5,"3,015",tt0079510,"$42,800,000",en,2021-10-20,0.0,0.0
We Summon the Darkness,2019,10 Apr 2020,91 min,"Horror, Music, Thriller",2 wins & 1 nomination,55.0,5.2,"11,097",tt8058874,"$60,794",en,2020-08-28,0.0,190760.0
The Lost Husband,2020,10 Apr 2020,109 min,"Drama, Romance",1 nomination,49.0,6.1,"5,141",tt4257940,,en,2020-04-10,0.0,0.0
Corona Zombies,2020,10 Apr 2020,61 min,"Comedy, Horror",2 nominations.,,2.5,689,tt12098392,,en,2020-04-10,0.0,0.0
Corona Zombies,2020,10 Apr 2020,61 min,"Comedy, Horror",2 nominations.,,2.5,689,tt12098392,,en,2020-04-10,0.0,0.0
Corona Zombies,2020,10 Apr 2020,61 min,"Comedy, Horror",2 nominations.,,2.5,689,tt12098392,,en,2020-04-10,0.0,0.0
Sergio,2020,17 Apr 2020,118 min,"Biography, Drama, History",1 win & 1 nomination,55.0,6.2,"10,352",tt8750570,,en,2020-01-28,16000000.0,0.0
The Willoughbys,2020,22 Apr 2020,90 min,"Animation, Adventure, Comedy",16 nominations,68.0,6.3,"19,897",tt5206260,,en,2020-04-22,0.0,0.0
Extraction,2020,24 Apr 2020,116 min,"Action, Thriller",4 wins & 15 nominations,56.0,6.7,"209,700",tt8936646,,en,2020-04-24,65000000.0,0.0
Extraction,2020,24 Apr 2020,116 min,"Action, Thriller",4 wins & 15 nominations,56.0,6.7,"209,700",tt8936646,,de,2021-07-14,0.0,0.0
Braking for Whales,2019,24 Apr 2020,103 min,"Comedy, Drama",,,4.9,484,tt2305326,,en,2019-09-20,0.0,0.0
Braking for Whales,2019,24 Apr 2020,103 min,"Comedy, Drama",,,4.9,484,tt2305326,,en,2019-09-20,0.0,0.0
Braking for Whales,2019,24 Apr 2020,103 min,"Comedy, Drama",,,4.9,484,tt2305326,,en,2019-09-20,0.0,0.0
Bad Education,2004,11 Feb 2005,106 min,"Crime, Drama",Nominated for 1 BAFTA Award16 wins & 42 nominations total,81.0,7.4,"61,496",tt0275491,"$5,284,284",en,2019-09-08,0.0,0.0
Dangerous Lies,2020,30 Apr 2020,96 min,Thriller,2 wins & 1 nomination,51.0,5.3,"17,773",tt10183816,,en,2020-05-30,0.0,0.0
All Day and a Night,2020,01 May 2020,121 min,Drama,2 nominations,60.0,6.0,"4,029",tt3993886,,en,2020-05-01,0.0,0.0
The Wretched,2019,01 May 2020,95 min,"Horror, Mystery",4 wins & 5 nominations,61.0,5.8,"18,091",tt8305806,"$1,814,193",en,2020-03-09,0.0,3758846.0
The Half of It,2020,01 May 2020,104 min,"Comedy, Drama, Romance",3 wins & 11 nominations,74.0,6.9,"39,660",tt9683478,,en,2020-05-01,0.0,0.0
Arkansas,2020,05 May 2020,117 min,"Crime, Thriller",,55.0,6.0,"13,192",tt9139586,,en,2020-05-05,0.0,0.0
Valley Girl,1983,29 Apr 1983,99 min,"Comedy, Romance",,66.0,6.4,"16,555",tt0086525,"$17,343,596",en,2020-05-08,0.0,0.0
Capone,2020,12 May 2020,103 min,"Biography, Crime, Drama",1 nomination,46.0,4.7,"21,661",tt6199572,,en,2020-06-26,20600000.0,858281.0
The Wrong Missy,2020,13 May 2020,90 min,"Comedy, Romance",5 nominations,33.0,5.7,"41,569",tt9619798,,en,2020-05-13,0.0,0.0
Scoob!,2020,15 May 2020,93 min,"Animation, Adventure, Comedy",3 nominations,43.0,5.6,"28,033",tt3152592,"$2,188,425",en,2020-07-08,90000000.0,28588425.0
Blood and Money,2020,15 May 2020,89 min,"Drama, Thriller",,40.0,5.2,"2,409",tt9248110,,en,2020-05-15,475000.0,0.0
Body Cam,2020,18 May 2020,96 min,"Action, Adventure, Crime",,37.0,5.3,"7,070",tt8179024,,en,2020-05-19,0.0,0.0
The Lovebirds,2020,22 May 2020,86 min,"Action, Comedy, Crime",2 wins & 3 nominations,59.0,6.1,"26,708",tt8851668,,en,2020-05-22,0.0,0.0
Inheritance,2020,22 May 2020,111 min,"Drama, Mystery, Thriller",,31.0,5.5,"17,079",tt7923220,,en,2020-04-30,0.0,0.0
Inheritance,2020,22 May 2020,111 min,"Drama, Mystery, Thriller",,31.0,5.5,"17,079",tt7923220,,en,2019-04-19,0.0,0.0
Inheritance,2020,22 May 2020,111 min,"Drama, Mystery, Thriller",,31.0,5.5,"17,079",tt7923220,,en,2021-03-20,0.0,0.0
Inheritance,2020,22 May 2020,111 min,"Drama, Mystery, Thriller",,31.0,5.5,"17,079",tt7923220,,en,2021-09-30,0.0,0.0
Survive the Night,2020,22 May 2020,90 min,"Action, Drama, Thriller",1 nomination,26.0,4.0,"11,567",tt10303324,,en,2020-07-09,0.0,0.0
The Wanting Mare,2020,05 Feb 2021,89 min,"Drama, Fantasy, Mystery",2 wins,67.0,5.3,546,tt2267554,,en,2021-02-05,0.0,0.0
The High Note,2020,29 May 2020,113 min,"Drama, Music, Romance",1 win & 8 nominations,58.0,6.4,"12,442",tt9308382,,en,2020-06-10,0.0,0.0
Shirley,2020,05 Jun 2020,107 min,"Biography, Drama, Horror",4 wins & 25 nominations,76.0,6.1,"12,144",tt8430598,,en,2020-09-11,0.0,230441.0
The Last Days of American Crime,2020,05 Jun 2020,148 min,"Action, Crime, Drama",,15.0,3.8,"11,891",tt1552211,,en,2020-06-05,0.0,0.0
Becky,2020,05 Jun 2020,93 min,"Action, Crime, Drama",1 win & 1 nomination,54.0,5.9,"18,046",tt10314450,"$1,003,700",en,2020-07-23,0.0,1045873.0
Becky,2020,05 Jun 2020,93 min,"Action, Crime, Drama",1 win & 1 nomination,54.0,5.9,"18,046",tt10314450,"$1,003,700",en,2020-10-12,0.0,0.0
Think Like a Dog,2020,06 Jul 2020,91 min,"Comedy, Drama, Family",1 win,,5.2,"1,940",tt5929654,,en,2020-08-06,0.0,1239498.0
Da 5 Bloods,2020,12 Jun 2020,154 min,"Adventure, Drama, War",Nominated for 1 Oscar. 41 wins & 198 nominations total,82.0,6.5,"52,777",tt9777644,,en,2020-06-12,45000000.0,0.0
Artemis Fowl,2020,12 Jun 2020,95 min,"Adventure, Family, Fantasy",2 nominations,31.0,4.2,"29,278",tt3089630,,en,2020-06-12,125000000.0,0.0
The King of Staten Island,2020,12 Jun 2020,136 min,"Comedy, Drama",3 wins & 24 nominations,67.0,7.1,"71,383",tt9686708,,en,2020-07-22,0.0,0.0
Sniper: Assassin's End,2020,16 Jun 2020,95 min,"Action, Thriller",3 nominations.,,5.4,"1,536",tt12305696,,en,2020-06-15,0.0,0.0
You Should Have Left,2020,18 Jun 2020,93 min,"Horror, Thriller",,46.0,5.4,"22,759",tt8201852,,en,2020-06-18,0.0,0.0
Wasp Network,2019,19 Jun 2020,127 min,"Crime, Drama, Thriller",1 win & 3 nominations,54.0,5.9,"11,177",tt6760876,,en,2020-01-29,0.0,0.0
Feel the Beat,2020,19 Jun 2020,109 min,"Comedy, Drama, Family",1 win & 3 nominations,,6.3,"12,045",tt10714856,,en,2020-06-19,0.0,0.0
Feel the Beat,2020,19 Jun 2020,109 min,"Comedy, Drama, Family",1 win & 3 nominations,,6.3,"12,045",tt10714856,,sv,2018-07-26,0.0,0.0
7500,2019,18 Jun 2020,93 min,"Action, Drama, Thriller",2 wins & 8 nominations,58.0,6.3,"30,114",tt6436726,,en,2019-12-26,0.0,0.0
Athlete A,2020,24 Jun 2020,103 min,"Documentary, Crime, Sport",4 wins & 9 nominations,85.0,7.6,"11,629",tt11905462,,en,2020-06-24,0.0,0.0
Eurovision Song Contest: The Story of Fire Saga,2020,26 Jun 2020,123 min,"Comedy, Musical",Nominated for 1 Oscar. 6 wins & 28 nominations total,50.0,6.5,"96,934",tt8580274,,en,2020-06-26,0.0,0.0
Irresistible,2020,26 Jun 2020,101 min,"Comedy, Drama",1 nomination,47.0,6.3,"21,822",tt9076562,,en,2020-07-01,0.0,177418.0
Irresistible,2020,26 Jun 2020,101 min,"Comedy, Drama",1 nomination,47.0,6.3,"21,822",tt9076562,,en,2020-08-25,0.0,0.0
My Spy,2020,26 Jun 2020,99 min,"Action, Comedy",,46.0,6.3,"32,042",tt8242084,,en,2020-01-09,0.0,4418501.0
We Bare Bears: The Movie,2020,30 Jun 2020,69 min,"Animation, Adventure, Comedy",,,6.7,"2,194",tt10474606,,en,2020-06-30,0.0,0.0
Hamilton,2020,03 Jul 2020,160 min,"Biography, Drama, History",Won 2 Primetime Emmys. 19 wins & 46 nominations total,89.0,8.4,"99,468",tt8503618,,en,2020-07-03,0.0,0.0
Relic,2020,10 Jul 2020,89 min,"Drama, Horror, Mystery",5 wins & 27 nominations,77.0,6.0,"27,923",tt9072352,"$1,047,083",en,2020-07-03,0.0,2902552.0
Desperados,2020,03 Jul 2020,105 min,"Comedy, Romance",1 win,41.0,5.2,"10,716",tt1545304,,en,2020-07-01,0.0,0.0
The Old Guard,2020,10 Jul 2020,125 min,"Action, Thriller",5 wins & 24 nominations,70.0,6.6,"170,607",tt7556122,,en,2020-07-10,70000000.0,0.0
Money Plane,2020,10 Jul 2020,82 min,"Comedy, Crime, Thriller",,,3.2,"5,265",tt7286966,,en,2020-09-29,838109.0,0.0
Greyhound,2020,10 Jul 2020,91 min,"Action, Drama, History",Nominated for 1 Oscar. 1 win & 23 nominations total,64.0,7.0,"101,679",tt6048922,,en,2020-07-10,50300000.0,0.0
Palm Springs,2020,10 Jul 2020,90 min,"Comedy, Fantasy, Mystery",15 wins & 45 nominations,83.0,7.4,"166,180",tt9484998,"$164,000",en,2020-07-10,0.0,164000.0
Fatal Affair,2020,16 Jul 2020,89 min,Thriller,1 win,34.0,4.6,"6,343",tt11057594,,en,2020-07-16,0.0,0.0
The Silencing,2020,18 Jul 2020,93 min,"Action, Crime, Mystery",1 nomination,,6.2,"27,633",tt7149730,"$100,746",en,2020-07-18,0.0,0.0
A Nice Girl Like You,2020,17 Jul 2020,94 min,"Comedy, Romance",,41.0,5.1,"5,941",tt3278540,,en,2020-07-18,6100000.0,0.0
Ghosts of War,2020,17 Jul 2020,94 min,"Fantasy, Horror, Thriller",,38.0,5.6,"10,956",tt6508228,,en,2020-07-03,0.0,345289.0
Animal Crackers,1930,06 Sep 1930,97 min,"Comedy, Family, Musical",2 nominations,77.0,7.4,"14,800",tt0020640,"$910,015",,,,
The Kissing Booth 2,2020,24 Jul 2020,134 min,"Comedy, Romance",2 wins,39.0,5.7,"33,630",tt9784456,,en,2020-07-24,0.0,0.0
The Rental,2020,24 Jul 2020,88 min,"Drama, Horror, Mystery",5 nominations,62.0,5.7,"34,377",tt10003008,"$1,637,548",en,2020-07-23,0.0,4296804.0
The Rental,2020,24 Jul 2020,88 min,"Drama, Horror, Mystery",5 nominations,62.0,5.7,"34,377",tt10003008,"$1,637,548",en,2019-10-25,0.0,0.0
Deep Blue Sea 3,2020,29 Jul 2020,100 min,"Action, Horror, Sci-Fi",,,4.7,"6,360",tt11946300,,en,2020-08-25,5000000.0,0.0
Black Is King,2020,31 Jul 2020,85 min,"Adventure, Drama, Fantasy",Won 1 Primetime Emmy. 2 wins & 9 nominations total,84.0,5.8,"9,072",tt12607910,,en,2020-07-31,0.0,0.0
The Secret: Dare to Dream,2020,31 Jul 2020,107 min,"Drama, Romance",2 nominations,32.0,6.5,"15,138",tt4411584,,en,2020-04-16,21000000.0,3215636.0
Summerland,2020,31 Jul 2020,99 min,"Drama, Romance, War",1 win,56.0,7.0,"7,884",tt6841122,"$58,498",en,2020-07-24,0.0,504296.0
Summerland,2020,31 Jul 2020,99 min,"Drama, Romance, War",1 win,56.0,7.0,"7,884",tt6841122,"$58,498",en,2020-09-14,0.0,0.0
She Dies Tomorrow,2020,07 Aug 2020,86 min,"Drama, Fantasy, Horror",8 nominations,80.0,5.1,"6,640",tt11614912,"$398,663",en,2020-07-31,0.0,398663.0
An American Pickle,2020,06 Aug 2020,88 min,"Comedy, Fantasy",1 win & 1 nomination,58.0,5.7,"24,780",tt9059704,,en,2020-07-26,0.0,0.0
The Tax Collector,2020,07 Aug 2020,95 min,"Action, Crime, Drama",1 nomination,22.0,4.8,"14,400",tt8461224,"$1,044,212",en,2020-08-07,30000000.0,942666.0
Waiting for the Barbarians,2019,07 Aug 2020,112 min,Drama,1 win & 3 nominations,52.0,5.9,"13,074",tt6149154,,en,2019-09-06,0.0,761361.0
Project Power,2020,14 Aug 2020,113 min,"Action, Crime, Sci-Fi",2 wins & 7 nominations,51.0,6.0,"91,867",tt7550000,,en,2020-08-14,0.0,0.0
Magic Camp,2020,14 Aug 2020,100 min,"Comedy, Family, Fantasy",,,6.3,"4,596",tt3979300,,en,2020-08-14,24000000.0,0.0
Spree,2020,14 Aug 2020,93 min,"Action, Comedy, Crime",5 nominations,42.0,5.9,"14,330",tt11394332,"$28,771",en,2020-08-14,0.0,43840.0
Boys State,2020,14 Aug 2020,109 min,Documentary,Won 1 Primetime Emmy. 17 wins & 26 nominations total,84.0,7.6,"5,321",tt11095742,,en,2020-01-23,0.0,0.0
The One and Only Ivan,2020,21 Aug 2020,95 min,"Adventure, Comedy, Drama",Nominated for 1 Oscar. 2 wins & 5 nominations total,58.0,6.5,"12,751",tt3661394,,en,2020-08-21,0.0,0.0
Unhinged,2020,21 Aug 2020,90 min,"Action, Thriller",1 nomination,40.0,6.0,"71,126",tt10059518,"$20,831,465",en,2020-07-16,33000000.0,39238300.0
Tesla,2020,21 Aug 2020,102 min,"Biography, Drama",1 win,67.0,5.1,"9,563",tt5259822,"$93,147",en,2020-08-14,5000000.0,459051.0
Tesla,2020,21 Aug 2020,102 min,"Biography, Drama",1 win,67.0,5.1,"9,563",tt5259822,"$93,147",lt,2020-11-05,0.0,0.0
Cut Throat City,2020,21 Aug 2020,123 min,"Action, Crime, Drama",,67.0,4.9,"2,962",tt3547306,"$855,894",en,2020-07-31,0.0,0.0
Words on Bathroom Walls,2020,21 Aug 2020,110 min,"Drama, Romance",2 nominations,61.0,7.1,"11,441",tt8045906,"$2,542,518",en,2020-08-21,0.0,0.0
Hard Kill,2020,21 Aug 2020,98 min,"Action, Thriller",1 nomination,,3.0,"19,081",tt11656172,,en,2020-10-23,0.0,111523.0
Chemical Hearts,2020,21 Aug 2020,93 min,"Drama, Romance",,57.0,6.3,"13,774",tt5843876,,en,2020-08-21,0.0,0.0
Tenet,2020,03 Sep 2020,150 min,"Action, Sci-Fi, Thriller",Won 1 Oscar. 50 wins & 137 nominations total,69.0,7.3,"523,027",tt6723592,"$58,504,105",en,2020-08-22,205000000.0,363129000.0
Bill,2015,18 Sep 2015,94 min,"Comedy, Family, History",,60.0,6.5,"2,882",tt2978576,,en,2020-09-03,0.0,0.0
Bill,2015,18 Sep 2015,94 min,"Comedy, Family, History",,60.0,6.5,"2,882",tt2978576,,en,2019-09-25,0.0,0.0
The New Mutants,2020,28 Aug 2020,94 min,"Action, Horror, Mystery",4 nominations,43.0,5.3,"83,011",tt4682266,"$23,852,659",en,2020-08-26,67000000.0,49169594.0
The Personal History of David Copperfield,2019,28 Aug 2020,119 min,"Comedy, Drama",Nominated for 1 BAFTA Award17 wins & 32 nominations total,77.0,6.4,"20,965",tt6439020,"$1,876,298",en,2019-11-07,15600000.0,11620337.0
I'm Thinking of Ending Things,2020,04 Sep 2020,134 min,"Drama, Thriller",15 wins & 110 nominations,78.0,6.6,"90,698",tt7939766,,en,2020-08-28,0.0,0.0
Phineas and Ferb the Movie: Candace Against the Universe,2020,28 Aug 2020,86 min,"Animation, Adventure, Comedy",1 win & 4 nominations,77.0,7.1,"4,845",tt1817232,,,,,
