Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,original_language,release_date,budget,revenue
Every Day,2018,23 Feb 2018,97 min,"Drama, Fantasy, Romance",1 nomination,52.0,6.4,"22,431",tt7026672,"$6,102,076",en,2018-02-22,4900000.0,10421847.0
Every Day,2018,23 Feb 2018,97 min,"Drama, Fantasy, Romance",1 nomination,52.0,6.4,"22,431",tt7026672,"$6,102,076",en,2021-02-26,0.0,0.0
The Cured,2017,23 Feb 2018,95 min,"Drama, Horror, Sci-Fi",2 nominations,57.0,5.6,"8,933",tt3463106,"$26,630",,,,
The Lodgers,2017,23 Feb 2018,92 min,"Drama, Horror, Mystery",4 wins & 4 nominations,52.0,5.1,"9,343",tt4399952,"$7,362",,,,
Red Sparrow,2018,02 Mar 2018,140 min,"Action, Drama, Thriller",3 wins & 9 nominations,53.0,6.6,"191,207",tt2873282,"$46,874,505",en,2018-02-28,69000000.0,151572634.0
Death Wish,2018,02 Mar 2018,107 min,"Action, Crime, Drama",4 nominations,31.0,6.3,"73,701",tt1137450,"$34,017,028",en,2018-03-02,30000000.0,34017028.0
The Vanishing of Sidney Hall,2017,02 Mar 2018,119 min,"Drama, Mystery, Romance",,18.0,6.8,"11,273",tt1291566,,en,2018-03-02,0.0,0.0
Foxtrot,2017,21 Sep 2017,113 min,Drama,21 wins & 25 nominations,88.0,7.2,"7,780",tt6896536,"$618,883",pt,2021-09-06,0.0,0.0
Pickings,2018,03 Aug 2018,103 min,"Action, Crime, Drama",9 wins & 15 nominations,,5.1,"1,076",tt4789822,,en,2018-03-02,350000.0,0.0
A Wrinkle in Time,2018,09 Mar 2018,109 min,"Adventure, Family, Fantasy",5 wins & 16 nominations,53.0,4.2,"46,059",tt1620680,"$100,478,608",en,2018-03-08,103000000.0,132675864.0
Gringo,2018,09 Mar 2018,111 min,"Action, Comedy, Crime",2 nominations,46.0,6.1,"31,068",tt3721964,"$4,969,853",en,2018-03-08,0.0,0.0
Thoroughbreds,2017,09 Mar 2018,92 min,"Comedy, Crime, Drama",1 win & 25 nominations,75.0,6.6,"44,601",tt5649108,"$3,072,605",en,2018-03-09,0.0,2830775.0
The Death of Stalin,2017,09 Mar 2018,107 min,"Comedy, Drama, History",Nominated for 2 BAFTA 18 wins & 40 nominations total,88.0,7.2,"105,851",tt4686844,"$8,047,856",,,,
The Leisure Seeker,2017,03 Jan 2018,112 min,"Adventure, Comedy, Drama",3 wins & 11 nominations,45.0,6.7,"9,220",tt3741632,"$3,226,443",en,2018-01-03,0.0,3009621.0
The Strangers: Prey at Night,2018,09 Mar 2018,85 min,Horror,,48.0,5.2,"32,389",tt1285009,"$24,586,708",en,2018-03-07,12500000.0,31039126.0
The Hurricane Heist,2018,09 Mar 2018,103 min,"Action, Adventure, Crime",,35.0,5.1,"21,418",tt5360952,"$6,115,825",en,2018-02-28,35000000.0,32517248.0
Tomb Raider,2018,16 Mar 2018,119 min,"Action, Adventure, Fantasy",8 nominations,48.0,6.3,"218,447",tt1365519,"$58,250,803",en,2018-03-05,94000000.0,274650803.0
"Love, Simon",2018,16 Mar 2018,110 min,"Comedy, Drama, Romance",9 wins & 28 nominations,72.0,7.5,"118,357",tt5164432,"$40,826,341",en,2018-02-16,17000000.0,66316289.0
I Can Only Imagine,2018,16 Mar 2018,110 min,"Biography, Drama, Family",6 wins & 5 nominations,30.0,7.3,"16,803",tt6450186,"$83,482,352",en,2018-02-14,7000000.0,86026201.0
