Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language,budget_max,budget_min
Peter Rabbit 2: The Runaway,2021,11 Jun 2021,93 min,"Adventure, Comedy, Crime",2 wins & 6 nominations,43.0,6.2,"12,595",tt8376234,"$40,501,717","English, German",45000000.0,45000000.0
In the Heights,2021,11 Jun 2021,143 min,"Drama, Musical, Romance",10 wins & 52 nominations,84.0,7.3,"48,854",tt1321510,"$29,975,167","English, Spanish, Hebrew",55000000.0,55000000.0
Wish Dragon,2021,11 Jun 2021,98 min,"Animation, Adventure, Comedy",4 nominations,59.0,7.2,"29,009",tt5562070,,English,0.0,0.0
The Misfits,1961,01 Feb 1961,125 min,"Drama, Romance, Western",1 win & 1 nomination,77.0,7.2,"21,592",tt0055184,,English,0.0,0.0
12 Mighty Orphans,2021,18 Jun 2021,118 min,"History, Sport",2 nominations,44.0,6.9,"6,291",tt8482584,"$3,689,637",English,0.0,0.0
The House Next Door: Meet the Blacks 2,2021,11 Jun 2021,97 min,"Action, Comedy, Horror",,,3.9,"1,888",tt7524444,"$2,893,660",English,0.0,0.0
Queen Bees,2021,11 Jun 2021,100 min,"Comedy, Drama, Romance",2 nominations,52.0,6.2,"2,379",tt8338076,"$1,926,706",English,0.0,0.0
DOMINO: Battle of the Bones,2021,11 Jun 2021,110 min,Comedy,,,3.9,305,tt10160896,"$50,124",English,,
Hitman's Wife's Bodyguard,2021,16 Jun 2021,100 min,"Action, Comedy, Crime",3 nominations,32.0,6.1,"97,805",tt8385148,"$38,014,727","English, Spanish, Japanese, Russian",70000000.0,70000000.0
Luca,2021,18 Jun 2021,95 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 4 wins & 78 nominations total,71.0,7.4,"170,435",tt12801262,,"English, Italian",200000000.0,0.0
Fatherhood,2021,18 Jun 2021,109 min,"Comedy, Drama",1 nomination,53.0,6.6,"39,758",tt4733624,,English,0.0,0.0
The Birthday Cake,2021,18 Jun 2021,93 min,"Crime, Thriller",,58.0,4.3,"1,684",tt10719958,,English,0.0,0.0
Rita Moreno: Just a Girl Who Decided to Go for It,2021,18 Jun 2021,90 min,"Documentary, Biography",3 wins & 7 nominations,77.0,7.7,825,tt10741846,"$264,626","English, Spanish",0.0,0.0
