Title,Genre,Premiere,Runtime,Language
The App,Science fiction / Drama,26-Dec-19,1 h 19 min,Italian
Ghost Stories,Horror anthology,01-Jan-20,2 h 24 min,Hindi
A Fall from Grace,Thriller,17-Jan-20,2 h,English
Airplane Mode,Comedy,23-Jan-20,1 h 36 min,Portuguese
Horse Girl,Drama,07-Feb-20,1 h 44 min,English
To All the Boys: P.S. I Still Love You,Romantic comedy,12-Feb-20,1 h 42 min,English
Isi & Ossi,Romantic comedy,14-Feb-20,1 h 53 min,German
The Last Thing He Wanted,Political thriller,21-Feb-20,1 h 55 min,English
Yeh Ballet,Drama,21-Feb-20,1 h 57 min,Hindi
All the Bright Places,Romance,28-Feb-20,1 h 48 min,English
Guilty,Thriller,06-Mar-20,1 h 59 min,Hindi
Spenser Confidential,Action comedy,06-Mar-20,1 h 51 min,English
Lost Girls,Crime drama,13-Mar-20,1 h 35 min,English
Ultras,Sports film,20-Mar-20,1 h 49 min,Italian
The Occupant,Thriller,25-Mar-20,1 h 43 min,Spanish
Maska,Romantic comedy,27-Mar-20,1 h 51 min,Hindi
The Decline,Thriller,27-Mar-20,1 h 23 min,French
Uncorked,Drama,27-Mar-20,1 h 44 min,English
Coffee & Kareem,Action comedy,03-Apr-20,1 h 28 min,English
The Main Event,Comedy,10-Apr-20,1 h 43 min,English
Love Wedding Repeat,Romantic comedy,10-Apr-20,1 h 40 min,English
Tigertail,Drama,10-Apr-20,1 h 31 min,English
Earth and Blood,Action,17-Apr-20,1 h 20 min,French
Rising High,Satire,17-Apr-20,1 h 34 min,German
Sergio,Biopic,17-Apr-20,1 h 58 min,English
The Willoughbys,Animation / Comedy / Adventure,22-Apr-20,1 h 32 min,English
Time to Hunt,Thriller,23-Apr-20,2 h 15 min,Korean
Extraction,Action,24-Apr-20,1 h 57 min,English
Dangerous Lies,Thriller,30-Apr-20,1 h 37 min,English
Rich in Love,Romantic comedy,30-Apr-20,1 h 45 min,Portuguese
All Day and a Night,Drama,01-May-20,2 h 1 min,English
Mrs. Serial Killer,Thriller,01-May-20,1 h 47 min,Hindi
The Half of It,Romance,01-May-20,1 h 45 min,English
The Wrong Missy,Comedy,13-May-20,1 h 30 min,English
The Lovebirds,Romantic comedy,22-May-20,1 h 27 min,English
I'm No Longer Here,Drama,27-May-20,1 h 52 min,Spanish
Intuition,Thriller,28-May-20,1 h 56 min,Spanish
Choked: Paisa Bolta Hai,Drama,05-Jun-20,1 h 54 min,Hindi
The Last Days of American Crime,Heist film / Thriller,05-Jun-20,2 h 29 min,English
Da 5 Bloods,War drama,12-Jun-20,2 h 35 min,English
A Whisker Away,Anime / Fantasy,18-Jun-20,1 h 45 min,Japanese
Feel the Beat,Family / Comedy drama,19-Jun-20,1 h 49 min,English
Lost Bullet,Thriller,19-Jun-20,1 h 33 min,French
One-Way to Tomorrow,Romance,19-Jun-20,1 h 30 min,Turkish
Bulbbul,Horror,24-Jun-20,1 h 34 min,Hindi
Nobody Knows I'm Here,Drama,24-Jun-20,1 h 31 min,Spanish
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,26-Jun-20,2 h 3 min,English
Under the Riccione Sun,Romantic teenage drama,01-Jul-20,1 h 42 min,Italian
Desperados,Romantic comedy,03-Jul-20,1 h 46 min,English
The Old Guard,Superhero / Action,10-Jul-20,2 h 5 min,English
The Players,Comedy,15-Jul-20,1 h 28 min,Italian
Fatal Affair,Thriller,16-Jul-20,1 h 29 min,English
The Larva Island Movie,Animation,23-Jul-20,1 h 31 min,English
Offering to the Storm,Thriller,24-Jul-20,2 h 19 min,Spanish
The Kissing Booth 2,Romantic comedy,24-Jul-20,2 h 12 min,English
Seriously Single,Comedy,31-Jul-20,1 h 47 min,English
Raat Akeli Hai,Thriller,31-Jul-20,2 h 29 min,Hindi
Work It,Dance comedy,07-Aug-20,1 h 33 min,English
Gunjan Saxena: The Kargil Girl,Drama,12-Aug-20,1 h 52 min,Hindi
Project Power,Superhero,14-Aug-20,1 h 53 min,English
Fearless,Animation / Superhero,14-Aug-20,1 h 31 min,English
Crazy Awesome Teachers,Comedy drama,17-Aug-20,1 h 41 min,Indonesian
The Crimes That Bind,Crime drama,20-Aug-20,1 h 39 min,Spanish
The Sleepover,Comedy,21-Aug-20,1 h 43 min,English
Class of '83,Drama,21-Aug-20,1 h 38 min,Hindi
Dark Forces,Thriller,21-Aug-20,1 h 21 min,Spanish
All Together Now,Drama,28-Aug-20,1 h 33 min,English
Unknown Origins,Thriller,28-Aug-20,1 h 36 min,Spanish
Freaks – You're One of Us,Supernatural drama,02-Sep-20,1 h 32 min,German
"Love, Guaranteed",Romantic comedy,03-Sep-20,1 h 31 min,English
I'm Thinking of Ending Things,Psychological thriller,04-Sep-20,2 h 14 min,English
The Babysitter: Killer Queen,Comedy / Horror,10-Sep-20,1 h 42 min,English
Dad Wanted,Family,11-Sep-20,1 h 43 min,Spanish
The Devil All The Time,Psychological thriller,16-Sep-20,2 h 18 min,English
The Paramedic,Thriller,16-Sep-20,1 h 34 min,Spanish
Dolly Kitty Aur Woh Chamakte Sitare,Drama,18-Sep-20,2 h,Hindi
Whipped,Romantic comedy,18-Sep-20,1 h 37 min,Indonesian
The Boys in the Band,Drama,30-Sep-20,2 h 2 min,English
All Because of You,Action comedy,01-Oct-20,1 h 41 min,Malay
Òlòtūré,Crime drama,02-Oct-20,1 h 46 min,English
Serious Men,Drama,02-Oct-20,1 h 54 min,Hindi
The Binding,Drama,02-Oct-20,1 h 33 min,Italian
Vampires vs. the Bronx,Horror comedy,02-Oct-20,1 h 25 min,English
You've Got This,Romantic comedy,02-Oct-20,1 h 51 min,Spanish
Hubie Halloween,Comedy,07-Oct-20,1 h 43 min,English
Ginny Weds Sunny,Romantic comedy,09-Oct-20,2 h 5 min,Hindi
The Forty-Year-Old Version,Comedy,09-Oct-20,2 h 4 min,English
A Babysitter's Guide to Monster Hunting,Comedy / Fantasy / Family,15-Oct-20,1 h 38 min,English
Love Like the Falling Rain,Drama,15-Oct-20,1 h 26 min,Indonesian
The Trial of the Chicago 7,Drama,16-Oct-20,2 h 10 min,English
Rebecca,Romantic thriller,21-Oct-20,2 h 3 min,English
Cadaver,Horror,22-Oct-20,1 h 26 min,Norwegian
Over the Moon,Animation / Musical / Adventure,23-Oct-20,1 h 40 min,English
Holidate,Romantic comedy / Christmas,28-Oct-20,1 h 44 min,English
Nobody Sleeps in the Woods Tonight,Horror,28-Oct-20,1 h 43 min,Polish
His House,Thriller,30-Oct-20,1 h 33 min,English
Kaali Khuhi,Mystery,30-Oct-20,1 h 30 min,Hindi
Rogue City,Crime drama,30-Oct-20,1 h 56 min,French
The Day of the Lord,Drama,30-Oct-20,1 h 33 min,Spanish
Operation Christmas Drop,Romantic comedy,05-Nov-20,1 h 36 min,English
Citation,Drama,06-Nov-20,2 h 31 min,English
What We Wanted,Drama,11-Nov-20,1 h 33 min,German
Ludo,Anthology / Dark comedy,12-Nov-20,2 h 30 min,Hindi
Jingle Jangle: A Christmas Journey,Family / Christmas musical,13-Nov-20,1 h 59 min,English
The Life Ahead,Drama,13-Nov-20,1 h 35 min,Italian
The Princess Switch: Switched Again,Romantic comedy,19-Nov-20,1 h 37 min,English
Christmas on the Square,Christmas musical,22-Nov-20,1 h 38 min,English
Hillbilly Elegy,Drama,24-Nov-20,1 h 57 min,English
Notes for My Son,Drama,24-Nov-20,1 h 23 min,Spanish
The Christmas Chronicles: Part Two,Christmas comedy,25-Nov-20,1 h 55 min,English
The Beast,Drama,27-Nov-20,1 h 39 min,Italian
The Call,Drama,27-Nov-20,1 h 52 min,Korean
Finding Agnes,Drama,30-Nov-20,1 h 45 min,Filipino
Just Another Christmas,Comedy,03-Dec-20,1 h 41 min,Portuguese
Christmas Crossfire,Thriller,04-Dec-20,1 h 46 min,German
Leyla Everlasting,Comedy,04-Dec-20,1 h 52 min,Turkish
Mank,Biopic,04-Dec-20,2 h 12 min,English
The Claus Family,Fantasy,07-Dec-20,1 h 37 min,Dutch
Rose Island,Comedy,09-Dec-20,1 h 58 min,Italian
The Prom,Musical,11-Dec-20,2 h 12 min,English
A California Christmas,Romantic comedy,14-Dec-20,1 h 47 min,English
Ma Rainey's Black Bottom,Drama,18-Dec-20,1 h 34 min,English
The Midnight Sky,Science fiction,23-Dec-20,1 h 58 min,English
AK vs AK,Thriller,24-Dec-20,1 h 49 min,Hindi
We Can Be Heroes,Superhero,25-Dec-20,1 h 40 min,English
What Happened to Mr. Cha?,Comedy,01-Jan-21,1 h 42 min,Korean
Pieces of a Woman,Drama,08-Jan-21,2 h 6 min,English
Stuck Apart,Drama,08-Jan-21,1 h 36 min,Turkish
The Heartbreak Club,Comedy drama,14-Jan-21,1 h 41 min,Indonesian
Double Dad,Comedy drama,15-Jan-21,1 h 45 min,Portuguese
Outside the Wire,Action / science fiction,15-Jan-21,1 h 55 min,English
Tribhanga – Tedhi Medhi Crazy,Drama,15-Jan-21,1 h 35 min,Hindi
The White Tiger,Drama,22-Jan-21,2 h 5 min,English
June & Kopi,Drama,28-Jan-21,1 h 30 min,Indonesian
Finding ʻOhana,Family,29-Jan-21,2 h 3 min,English
The Dig,Drama,29-Jan-21,1 h 52 min,English
Below Zero,Drama,29-Jan-21,1 h 46 min,Spanish
The Last Paradiso,Romantic drama,05-Feb-21,1 h 47 min,Italian
Malcolm & Marie,Romantic drama,05-Feb-21,1 h 46 min,English
Space Sweepers,Science fiction,05-Feb-21,2 h 16 min,Korean
The Misadventures of Hedi and Cokeman,Comedy,10-Feb-21,1 h 39 min,French
Red Dot,Thriller,11-Feb-21,1 h 26 min,Swedish
Squared Love,Romantic comedy,11-Feb-21,1 h 42 min,Polish
To All the Boys: Always and Forever,Romantic comedy,12-Feb-21,1 h 55 min,English
Geez & Ann,Romantic drama,25-Feb-21,1 h 45 min,Indonesian
Crazy About Her,Romantic comedy,26-Feb-21,1 h 42 min,Spanish
The Girl on the Train,Thriller,26-Feb-21,2 h,Hindi
Moxie,Drama,03-Mar-21,1 h 51 min,English
Sentinelle,Action,05-Mar-21,1 h 20 min,French
Yes Day,Comedy,12-Mar-21,1 h 29 min,English
Paper Lives,Drama,12-Mar-21,1 h 37 min,Turkish
Get the Goat,Comedy,18-Mar-21,1 h 38 min,Portuguese
Caught by a Wave,Romantic teen drama,25-Mar-21,1 h 39 min,Italian
A Week Away,Christian musical,26-Mar-21,1 h 37 min,English
Bad Trip,Hidden-camera prank comedy,26-Mar-21,1 h 26 min,English
Pagglait,Comedy drama,26-Mar-21,1 h 54 min,Hindi
Tersanjung the Movie,Drama,01-Apr-21,1 h 54 min,Indonesian
Concrete Cowboy,Drama,02-Apr-21,1 h 51 min,English
Just Say Yes,Romantic comedy,02-Apr-21,1 h 37 min,Dutch
Madame Claude,Drama,02-Apr-21,1 h 52 min,French
Have You Ever Seen Fireflies?,Comedy,09-Apr-21,1 h 54 min,Turkish
Night in Paradise,Drama,09-Apr-21,2 h 12 min,Korean
Thunder Force,Superhero comedy,09-Apr-21,1 h 47 min,English
Prime Time,Thriller,14-Apr-21,1 h 32 min,Polish
Ride or Die,Psychological thriller drama,15-Apr-21,2 h 22 min,Japanese
Ajeeb Daastaans,Drama,16-Apr-21,2 h 22 min,Hindi
Arlo the Alligator Boy,Animated musical comedy,16-Apr-21,1 h 32 min,English
Get the Grift,Comedy,28-Apr-21,1 h 35 min,Portuguese
Things Heard & Seen,Horror,29-Apr-21,2 h 1 min,English
