Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language
John Wick: Chapter 3 - Parabellum,2019,17 May 2019,130 min,"Action, Crime, Thriller",18 wins & 29 nominations,73,7.4,"360,756",tt6146586,"$171,015,687","English, Russian, Japanese, Indonesian, Mandarin, Italian, Arabic, Latin"
A Dog's Journey,2019,17 May 2019,109 min,"Adventure, Comedy, Drama",2 nominations,43,7.4,"26,117",tt8385474,"$22,782,371",English
The Sun Is Also a Star,2019,17 May 2019,100 min,"Drama, Music, Romance",2 nominations,52,5.9,"7,682",tt6423362,"$4,950,029","English, Korean"
The Professor,2018,17 May 2019,90 min,"Comedy, Drama",1 nomination,37,6.7,"33,979",tt6865690,N/A,"English, Spanish"
The Souvenir,2019,07 Jun 2019,120 min,"Drama, Romance",7 wins & 37 nominations,92,6.4,"13,506",tt6920356,"$1,036,737",English
The Tomorrow Man,2019,02 Aug 2019,94 min,"Drama, Romance",3 nominations,49,5.8,"2,036",tt8769848,"$354,103",English
Aladdin,1992,25 Nov 1992,90 min,"Animation, Adventure, Comedy",Won 2 Oscars. 34 wins & 22 nominations total,86,8.0,"431,684",tt0103639,"$217,350,219",English
Brightburn,2019,24 May 2019,90 min,"Drama, Horror, Mystery",1 win & 2 nominations,44,6.1,"101,455",tt7752126,"$17,300,439",English
Booksmart,2019,24 May 2019,102 min,Comedy,Nominated for 1 BAFTA Award29 wins & 62 nominations total,84,7.1,"123,175",tt1489887,"$22,680,962","English, Mandarin, Spanish"
The Perfection,2018,24 May 2019,90 min,"Drama, Horror, Music",3 wins,60,6.2,"46,061",tt7772580,N/A,"English, Mandarin"
Always Be My Maybe,2019,31 May 2019,101 min,"Comedy, Romance",1 win & 5 nominations,64,6.8,"58,354",tt7374948,N/A,English
Godzilla: King of the Monsters,2019,31 May 2019,132 min,"Action, Adventure, Fantasy",5 wins & 14 nominations,48,6.0,"188,596",tt3741700,"$110,500,138","English, Japanese, Chinese, Spanish"
Rocketman,2019,31 May 2019,121 min,"Biography, Drama, Musical",Won 1 Oscar. 25 wins & 86 nominations total,69,7.3,"180,491",tt2066051,"$96,368,160",English
Ma,2019,31 May 2019,99 min,"Horror, Mystery, Thriller",1 win & 8 nominations,53,5.6,"55,334",tt7958736,"$45,896,028",English
X-Men: Dark Phoenix,2019,07 Jun 2019,113 min,"Action, Adventure, Sci-Fi",13 nominations,43,5.7,"192,158",tt6565702,"$65,845,974","English, French"
The Secret Life of Pets 2,2019,07 Jun 2019,86 min,"Animation, Adventure, Comedy",11 nominations,55,6.4,"64,507",tt5113040,"$158,874,395",English
Late Night,2019,14 Jun 2019,102 min,"Comedy, Drama",1 win & 14 nominations,70,6.5,"39,119",tt6107548,"$15,499,454",English
The Last Black Man in San Francisco,2019,07 Jun 2019,121 min,Drama,18 wins & 59 nominations,83,7.3,"20,419",tt4353250,"$4,515,719",English
Changeland,2019,07 Jun 2019,86 min,"Comedy, Drama",N/A,42,5.7,"2,431",tt6612946,N/A,"English, Thai"
Men in Black: International,2019,14 Jun 2019,114 min,"Action, Adventure, Comedy",9 nominations,38,5.6,"138,295",tt2283336,"$80,001,807","English, French, Chinese"
Shaft,2000,16 Jun 2000,99 min,"Action, Crime, Thriller",1 win & 13 nominations,50,6.0,"78,469",tt0162650,"$70,334,258","English, German, Spanish"
The Dead Don't Die,2019,14 Jun 2019,104 min,"Comedy, Fantasy, Horror",2 wins & 7 nominations,53,5.4,"81,339",tt8695030,"$6,563,605",English
Murder Mystery,2019,14 Jun 2019,97 min,"Action, Comedy, Crime",1 win & 6 nominations,38,6.0,"136,484",tt1618434,N/A,"English, French, Latin, Spanish"
Plus One,2019,14 Jun 2019,98 min,"Comedy, Drama, Romance",1 win,65,6.6,"12,502",tt7645122,N/A,English
Being Frank,2018,21 Jun 2019,109 min,Comedy,3 wins & 5 nominations,41,6.1,"1,627",tt6547044,"$67,343",English
Toy Story 4,2019,21 Jun 2019,100 min,"Animation, Adventure, Comedy",Won 1 Oscar. 57 wins & 67 nominations total,84,7.7,"258,607",tt1979376,"$434,038,008",English
Anna,2019,21 Jun 2019,118 min,"Action, Thriller",2 nominations,40,6.6,"86,158",tt7456310,"$7,743,794","English, Russian, French, Italian, Dutch"
Child's Play,1988,09 Nov 1988,87 min,"Horror, Thriller",2 wins & 4 nominations,58,6.6,"107,345",tt0094862,"$33,244,684",English
Annabelle Comes Home,2019,26 Jun 2019,106 min,"Horror, Mystery, Thriller",2 nominations,53,5.9,"79,046",tt8350360,"$74,152,591",English
Yesterday,2019,28 Jun 2019,116 min,"Comedy, Fantasy, Music",2 wins & 19 nominations,55,6.8,"157,501",tt8079248,"$73,286,650","English, Portuguese, Japanese"
Ophelia,2018,28 Jun 2019,106 min,"Drama, Romance, Thriller",4 wins & 4 nominations,60,6.5,"12,015",tt5690810,"$50,722","English, Norwegian, Latin"
Killers Anonymous,2019,28 Sep 2019,95 min,"Action, Crime, Mystery",N/A,22,4.1,"10,076",tt8400758,N/A,English
Spider-Man: Far from Home,2019,02 Jul 2019,129 min,"Action, Adventure, Comedy",11 wins & 26 nominations,69,7.4,"508,301",tt6320628,"$390,532,085","English, Italian, Czech"
Escape Plan: The Extractors,2019,02 Jul 2019,97 min,"Action, Crime, Thriller",1 nomination,N/A,4.4,"15,346",tt6772804,N/A,"English, Chinese, German"
Midsommar,2019,03 Jul 2019,148 min,"Drama, Horror, Mystery",28 wins & 77 nominations,72,7.1,"341,772",tt8772262,"$27,426,361","English, Swedish"
Stuber,2019,12 Jul 2019,93 min,"Action, Comedy, Crime",5 nominations,42,6.2,"49,018",tt7734218,"$22,370,452","English, Spanish"
Crawl,2019,12 Jul 2019,87 min,"Action, Adventure, Horror",5 nominations,60,6.1,"87,641",tt8364368,"$39,014,193",English
Point Blank,1967,31 Aug 1967,92 min,"Crime, Drama, Thriller",1 win,86,7.3,"21,910",tt0062138,N/A,English
The Farewell,2019,09 Aug 2019,100 min,"Comedy, Drama",Nominated for 1 BAFTA Award36 wins & 189 nominations total,89,7.5,"66,813",tt8637428,"$17,695,781","Mandarin, English, Japanese, Italian"
Darlin',2019,12 Jul 2019,100 min,"Horror, Thriller",2 nominations,49,4.9,"2,097",tt8396294,N/A,English
The Lion King,1994,24 Jun 1994,88 min,"Animation, Adventure, Drama",Won 2 Oscars. 42 wins & 36 nominations total,88,8.5,"1,074,159",tt0110357,"$422,783,777","English, Swahili, Xhosa, Zulu"
Once Upon a Time in Hollywood,2019,26 Jul 2019,161 min,"Comedy, Drama",Won 2 Oscars. 143 wins & 381 nominations total,83,7.6,"767,180",tt7131622,"$142,502,728","English, Italian, Spanish, German"
Skin,2018,23 Jul 2019,118 min,"Biography, Crime, Drama",1 win & 3 nominations,58,6.8,"17,283",tt6043142,N/A,English
The Red Sea Diving Resort,2019,31 Jul 2019,129 min,"Drama, History, Thriller",N/A,N/A,6.6,"30,477",tt4995776,N/A,"English, Amharic"
Fast & Furious 6,2013,24 May 2013,130 min,"Action, Adventure, Crime",11 wins & 22 nominations,61,7.0,"400,484",tt1905041,"$238,679,850","English, Spanish, Russian, Japanese, Cantonese, Dutch, Danish, Ukrainian"
A Score to Settle,2019,02 Aug 2019,103 min,"Action, Crime, Drama",1 nomination,37,4.7,"6,501",tt3758162,N/A,"English, Spanish, Italian"
The Operative,2019,24 Jul 2019,116 min,"Action, Drama, Mystery",1 win,47,5.8,"6,887",tt8000718,N/A,"English, German, Persian, Hebrew, Kurdish, French"
Dora and the Lost City of Gold,2019,09 Aug 2019,102 min,"Action, Adventure, Comedy",4 wins & 2 nominations,63,6.1,"31,985",tt7547410,"$60,477,943","English, Spanish, Quechua"
The Kitchen,2019,09 Aug 2019,102 min,"Action, Crime, Drama",1 nomination,35,5.6,"21,865",tt5822564,"$12,180,032","English, Hebrew"
The Art of Racing in the Rain,2019,09 Aug 2019,109 min,"Comedy, Drama, Romance",N/A,43,7.5,"33,672",tt1478839,"$26,395,642","English, Italian"
Scary Stories to Tell in the Dark,2019,09 Aug 2019,108 min,"Adventure, Horror, Mystery",4 wins & 7 nominations,61,6.2,"79,383",tt3387520,"$68,947,075",English
The Peanut Butter Falcon,2019,23 Aug 2019,97 min,"Adventure, Comedy, Drama",20 wins & 16 nominations,70,7.6,"93,356",tt4364194,"$20,457,151",English
After the Wedding,2006,11 May 2007,120 min,Drama,Nominated for 1 Oscar. 9 wins & 17 nominations total,78,7.7,"35,552",tt0457655,"$1,534,584","Danish, Swedish, English, Hindi"
Light of My Life,2019,09 Aug 2019,119 min,"Drama, Sci-Fi, Thriller",5 nominations,67,6.6,"14,296",tt6063090,"$20,056",English
The Angry Birds Movie 2,2019,14 Aug 2019,97 min,"Animation, Action, Adventure",1 win & 3 nominations,60,6.4,"31,478",tt6095472,"$41,667,116",English
Good Boys,2019,16 Aug 2019,90 min,"Adventure, Comedy",2 wins & 9 nominations,N/A,6.7,"76,380",tt6977338,"$83,140,306",English
Blinded by the Light,2019,16 Aug 2019,118 min,"Comedy, Drama, Music",2 wins & 8 nominations,71,6.9,"25,825",tt8266310,"$11,901,145","English, Urdu"
"Where'd You Go, Bernadette",2019,16 Aug 2019,109 min,"Comedy, Drama",4 nominations,51,6.5,"23,066",tt2365580,"$9,198,356",English
47 Meters Down: Uncaged,2019,16 Aug 2019,90 min,"Adventure, Drama, Horror",N/A,43,5.0,"28,252",tt7329656,"$22,260,900","English, Spanish"
Gwen,2018,16 Aug 2019,84 min,"Drama, History, Horror",3 wins & 16 nominations,63,5.7,"5,557",tt5149490,N/A,"English, Welsh"
Ready or Not,2019,21 Aug 2019,95 min,"Action, Comedy, Horror",4 wins & 24 nominations,64,6.8,"159,962",tt7798634,"$28,714,231","English, Latin"
Angel Has Fallen,2019,23 Aug 2019,121 min,"Action, Thriller",1 nomination,45,6.4,"101,858",tt6189022,"$69,030,436",English
Brittany Runs a Marathon,2019,24 Oct 2019,104 min,"Comedy, Drama",2 wins & 7 nominations,72,6.8,"20,935",tt7671064,"$7,189,808",English
Overcomer,2019,23 Aug 2019,119 min,"Drama, Family, Sport",2 wins & 3 nominations,17,6.6,"5,183",tt8186318,"$34,746,945",English
Jacob's Ladder,1990,02 Nov 1990,113 min,"Drama, Horror, Mystery",3 wins & 1 nomination,62,7.4,"111,366",tt0099871,"$26,118,851",English
Burn,2019,23 Aug 2019,88 min,"Comedy, Crime, Thriller",2 wins & 1 nomination,50,5.7,"5,411",tt8009314,N/A,English
Official Secrets,2019,30 Aug 2019,112 min,"Biography, Crime, Drama",5 wins & 16 nominations,63,7.3,"49,788",tt5431890,"$1,988,546","English, Mandarin"
Don't Let Go,2019,30 Aug 2019,103 min,"Drama, Horror, Mystery",N/A,49,6.3,"11,777",tt6803212,"$5,215,062",English
Itsy Bitsy,2019,30 Dec 2019,94 min,"Fantasy, Horror, Mystery",1 nomination,N/A,4.7,"5,219",tt6895284,N/A,English
The Fanatic,2019,05 Aug 2020,88 min,"Crime, Drama, Horror",2 wins & 2 nominations,18,4.1,"11,631",tt7869070,N/A,"English, Spanish"
It Chapter Two,2019,06 Sep 2019,169 min,"Drama, Fantasy, Horror",7 wins & 34 nominations,58,6.5,"275,689",tt7349950,"$211,622,525","English, North American Indian, Spanish"
Satanic Panic,2019,06 Sep 2019,85 min,"Comedy, Horror",1 win & 4 nominations,51,5.6,"6,311",tt8510350,N/A,English
Strange But True,2019,06 Sep 2019,96 min,Thriller,N/A,55,5.9,"5,069",tt2866708,N/A,English
The Obituary of Tunde Johnson,2019,26 Feb 2021,104 min,Drama,2 wins & 2 nominations,58,5.6,672,tt8815382,N/A,English
The Goldfinch,2019,13 Sep 2019,149 min,Drama,3 nominations,40,6.4,"24,734",tt3864056,"$5,332,621","English, Ukrainian, German, French"
Hustlers,2019,13 Sep 2019,110 min,"Comedy, Crime, Drama",24 wins & 81 nominations,79,6.3,"103,090",tt5503686,"$104,963,598","English, Russian"
The Sound of Silence,2019,13 Sep 2019,88 min,Drama,3 nominations,66,5.7,"1,460",tt9352926,"$20,013",English
Monos,2019,15 Aug 2019,102 min,"Adventure, Drama, Thriller",37 wins & 67 nominations,78,6.9,"17,900",tt6062774,"$406,473","Spanish, English"
Tall Girl,2019,13 Sep 2019,101 min,"Comedy, Drama, Family",2 wins & 1 nomination,N/A,5.2,"24,881",tt9252508,N/A,English
Ad Astra,2019,20 Sep 2019,123 min,"Adventure, Drama, Mystery",Nominated for 1 Oscar. 16 wins & 76 nominations total,80,6.5,"243,810",tt2935510,"$50,188,370","English, Norwegian"
Rambo: Last Blood,2019,20 Sep 2019,89 min,"Action, Crime, Thriller",4 wins & 8 nominations,26,6.1,"101,962",tt1206885,"$44,819,352","English, Spanish"
Running with the Devil,2019,20 Sep 2019,100 min,"Crime, Drama, Thriller",N/A,42,5.4,"8,911",tt5792656,N/A,"English, Spanish"
Fractured,2019,11 Oct 2019,99 min,Thriller,3 nominations,36,6.4,"80,500",tt4332232,N/A,English
Abominable,2019,27 Sep 2019,97 min,"Animation, Adventure, Comedy",4 wins & 23 nominations,61,7.0,"40,191",tt6324278,"$61,270,390","English, Mandarin"
The Laundromat,2019,27 Sep 2019,96 min,"Comedy, Crime, Drama",8 nominations,57,6.3,"52,590",tt5865326,N/A,"English, Mandarin, Spanish, Russian"
Judy,2019,04 Oct 2019,118 min,"Biography, Drama, Music",Won 1 Oscar. 23 wins & 67 nominations total,66,6.8,"52,368",tt7549996,"$24,313,888",English
Prey,2022,05 Aug 2022,100 min,"Action, Adventure, Drama",2 wins & 26 nominations,71,7.1,"202,259",tt11866324,N/A,"English, North American Indian, French"
10 Minutes Gone,2019,27 Sep 2019,89 min,"Action, Crime, Mystery",N/A,13,3.6,"4,065",tt8809652,N/A,English
Joker,2019,04 Oct 2019,122 min,"Crime, Drama, Thriller",Won 2 Oscars. 122 wins & 239 nominations total,59,8.4,"1,328,051",tt7286456,"$335,477,657",English
Lucy in the Sky,2019,04 Oct 2019,124 min,"Drama, Romance, Sci-Fi",6 nominations,36,4.9,"8,218",tt4682804,"$319,976","English, French, German, Latin"
Dolemite Is My Name,2019,25 Oct 2019,118 min,"Biography, Comedy, Drama",30 wins & 67 nominations,76,7.2,"62,423",tt8526872,N/A,English
In the Tall Grass,2019,04 Oct 2019,101 min,"Horror, Mystery, Sci-Fi",2 wins & 3 nominations,46,5.4,"58,789",tt4687108,N/A,English
Low Tide,2019,05 Sep 2019,86 min,"Drama, Thriller",2 nominations,64,6.3,"2,888",tt7434324,N/A,English
Wrinkles the Clown,2019,04 Oct 2019,78 min,"Documentary, Comedy, Horror",5 nominations,53,4.9,"1,462",tt9097270,"$14,938",English
Little Monsters,2019,11 Oct 2019,93 min,"Comedy, Horror, Sci-Fi",3 wins & 10 nominations,59,6.3,"18,144",tt7390588,N/A,"English, Chinese"
Gemini Man,2019,11 Oct 2019,117 min,"Action, Sci-Fi, Thriller",1 win & 6 nominations,38,5.7,"116,019",tt1025100,"$48,546,770","English, French"
The Addams Family,1991,22 Nov 1991,99 min,"Comedy, Fantasy",Nominated for 1 Oscar. 5 wins & 23 nominations total,57,6.9,"169,896",tt0101272,"$113,502,426","English, Italian, French"
The King,2019,01 Nov 2019,140 min,"Biography, Drama, History",12 wins & 28 nominations,62,7.3,"136,144",tt7984766,N/A,"English, French, Latin"
Jexi,2019,11 Oct 2019,84 min,"Comedy, Romance, Sci-Fi",1 nomination,39,6.0,"29,110",tt9354944,"$6,546,159",English
Polaroid,2019,17 Sep 2019,88 min,"Drama, Horror, Mystery",N/A,N/A,5.1,"14,860",tt5598292,N/A,English
El Camino: A Breaking Bad Movie,2019,11 Oct 2019,122 min,"Action, Crime, Drama",Nominated for 4 Primetime Emmys. 4 wins & 24 nominations total,72,7.3,"262,472",tt9243946,N/A,"English, Spanish"
Maleficent: Mistress of Evil,2019,18 Oct 2019,119 min,"Adventure, Family, Fantasy",Nominated for 1 Oscar. 1 win & 11 nominations total,43,6.6,"109,395",tt4777008,"$113,929,605",English
Zombieland: Double Tap,2019,18 Oct 2019,99 min,"Action, Comedy, Horror",6 nominations,55,6.7,"186,369",tt1560220,"$73,123,082","English, Spanish, Italian, Inuktitut, Hindi"
Jojo Rabbit,2019,08 Nov 2019,108 min,"Comedy, Drama, War",Won 1 Oscar. 49 wins & 191 nominations total,58,7.9,"404,557",tt2584384,"$33,370,906","English, German"
The Lighthouse,2019,01 Nov 2019,109 min,"Drama, Fantasy, Mystery",Nominated for 1 Oscar. 34 wins & 139 nominations total,83,7.4,"226,244",tt7984734,"$10,867,104",English
Wounds,2019,18 Oct 2019,95 min,"Drama, Horror, Mystery",N/A,51,4.1,"20,185",tt5913798,N/A,English
Black and Blue,2019,25 Oct 2019,108 min,"Action, Thriller",1 win & 2 nominations,54,6.4,"24,923",tt7390646,"$22,055,313",English
The Current War: Director's Cut,2017,25 Oct 2019,102 min,"Biography, Drama, History",N/A,55,6.5,"28,723",tt2140507,"$5,979,540","English, Spanish"
Countdown,2019,25 Oct 2019,90 min,"Horror, Thriller",N/A,31,5.4,"40,680",tt10039344,"$25,621,766","English, Latin"
The Kill Team,2019,25 Oct 2019,87 min,"Action, Biography, Drama",N/A,60,6.0,"6,241",tt6196936,N/A,English
The Gallows Act II,2019,25 Oct 2019,99 min,"Horror, Mystery, Thriller",N/A,N/A,4.2,"2,179",tt7473716,N/A,English
Terminator: Dark Fate,2019,01 Nov 2019,128 min,"Action, Adventure, Sci-Fi",1 win & 12 nominations,54,6.2,"182,839",tt6450804,"$62,253,077","English, Spanish"
Motherless Brooklyn,2019,01 Nov 2019,144 min,"Crime, Drama, Mystery",2 wins & 15 nominations,60,6.8,"59,509",tt0385887,"$9,277,736","English, French"
The Irishman,2019,27 Nov 2019,209 min,"Biography, Crime, Drama",Nominated for 10 Oscars. 73 wins & 357 nominations total,94,7.8,"398,544",tt1302006,N/A,"English, Italian, Latin, Spanish, German"
Harriet,2019,01 Nov 2019,125 min,"Action, Biography, Drama",Nominated for 2 Oscars. 21 wins & 54 nominations total,66,6.7,"28,539",tt4648786,"$43,082,155",English
Arctic Dogs,2019,01 Nov 2019,92 min,"Animation, Adventure, Comedy",1 nomination,28,4.8,"2,089",tt4426464,"$5,801,249","English, Korean"
Marriage Story,2019,06 Dec 2019,137 min,"Drama, Romance",Won 1 Oscar. 128 wins & 275 nominations total,94,7.9,"320,493",tt7653254,N/A,"English, Spanish"
Doctor Sleep,2019,08 Nov 2019,152 min,"Drama, Fantasy, Horror",9 wins & 37 nominations,59,7.3,"199,613",tt5606664,"$31,581,712","English, Persian"
Last Christmas,2019,08 Nov 2019,103 min,"Comedy, Drama, Fantasy",1 win & 2 nominations,50,6.5,"83,438",tt8623904,"$35,150,750","English, Serbo-Croatian, Mandarin, French"
Playing with Fire,2019,08 Nov 2019,96 min,"Comedy, Family",2 wins & 2 nominations,24,5.1,"15,259",tt9134216,"$44,451,847","English, Spanish, French"
Let It Snow,2019,08 Nov 2019,92 min,"Comedy, Romance",1 nomination,51,5.8,"23,410",tt1950235,N/A,English
Midway,2019,08 Nov 2019,138 min,"Action, Drama, History",1 nomination,47,6.7,"88,786",tt6924650,"$56,846,802","English, Japanese, Mandarin"
Klaus,2019,15 Nov 2019,96 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 11 wins & 26 nominations total,65,8.2,"163,581",tt4729430,N/A,"English, Saami"
Honey Boy,2019,27 Nov 2019,94 min,Drama,10 wins & 41 nominations,73,7.2,"38,858",tt8151874,"$3,012,615","English, Spanish"
Lady and the Tramp,1955,22 Jun 1955,76 min,"Animation, Adventure, Comedy",Nominated for 1 BAFTA Award1 win & 2 nominations total,78,7.3,"139,913",tt0048280,"$93,602,326",English
Noelle,2019,12 Nov 2019,100 min,"Adventure, Comedy, Family",1 win,48,6.3,"24,065",tt5097410,N/A,"English, American Sign "
Ford v Ferrari,2019,15 Nov 2019,152 min,"Action, Biography, Drama",Won 2 Oscars. 25 wins & 90 nominations total,81,8.1,"410,331",tt1950186,"$117,624,357","English, Italian, French, Japanese"
Charlie's Angels,2000,03 Nov 2000,98 min,"Action, Adventure, Comedy",15 wins & 33 nominations,52,5.6,"190,087",tt0160127,"$125,305,545","English, German, Finnish, Japanese, Cantonese"
The Good Liar,2019,15 Nov 2019,109 min,"Crime, Drama, Mystery",6 nominations,55,6.7,"44,056",tt5563334,"$17,156,058","English, German, Russian, French, Spanish"
The Report,2019,15 Nov 2019,119 min,"Biography, Crime, Drama",4 wins & 13 nominations,66,7.2,"45,910",tt8236336,N/A,English
Waves,2019,06 Dec 2019,135 min,"Drama, Romance, Sport",14 wins & 41 nominations,80,7.5,"27,407",tt8652728,"$1,658,790",English
Frozen II,2019,22 Nov 2019,103 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 18 wins & 91 nominations total,64,6.8,"179,055",tt4520988,"$477,373,578",English
A Beautiful Day in the Neighborhood,2019,22 Nov 2019,109 min,"Biography, Drama",Nominated for 1 Oscar. 7 wins & 64 nominations total,80,7.2,"83,373",tt3224458,"$61,704,055",English
21 Bridges,2019,22 Nov 2019,99 min,"Action, Crime, Drama",2 nominations,51,6.6,"69,862",tt8688634,"$28,539,757",English
Dark Waters,2019,06 Dec 2019,126 min,"Biography, Drama, History",10 nominations,73,7.6,"92,586",tt9071322,"$11,136,084","English, Korean"
Knives Out,2019,27 Nov 2019,130 min,"Comedy, Crime, Drama",Nominated for 1 Oscar. 52 wins & 114 nominations total,82,7.9,"718,304",tt8946378,"$165,363,234","English, Spanish, Hindi"
Queen,2013,07 Mar 2014,146 min,"Adventure, Comedy, Drama",25 wins & 29 nominations,N/A,8.1,"66,678",tt3322420,N/A,"Hindi, English, French, Japanese, Dutch"
The Two Popes,2019,20 Dec 2019,125 min,"Biography, Comedy, Drama",Nominated for 3 Oscars. 11 wins & 57 nominations total,75,7.6,"127,201",tt8404614,N/A,"English, Spanish, Italian, Latin, Portuguese, French, German"
Playmobil: The Movie,2019,06 Dec 2019,99 min,"Animation, Adventure, Comedy",N/A,25,4.9,"4,319",tt4199898,"$1,115,008",English
The Aeronauts,2019,20 Dec 2019,100 min,"Action, Adventure, Drama",11 nominations,60,6.6,"34,916",tt6141246,N/A,"English, French, Latin"
A Million Little Pieces,2018,06 Dec 2019,113 min,Drama,N/A,45,6.2,"3,619",tt0427543,N/A,English
Daniel Isn't Real,2019,06 Dec 2019,100 min,"Drama, Fantasy, Horror",5 wins & 4 nominations,61,6.1,"9,251",tt8745960,N/A,English
Trauma Center,2019,06 Dec 2019,87 min,"Action, Thriller",N/A,N/A,4.0,"11,449",tt9625664,N/A,"English, Spanish"
Jumanji: The Next Level,2019,13 Dec 2019,123 min,"Action, Adventure, Comedy",2 wins & 11 nominations,58,6.7,"259,657",tt7975244,"$320,314,960",English
Richard Jewell,2019,13 Dec 2019,131 min,"Biography, Crime, Drama",Nominated for 1 Oscar. 7 wins & 20 nominations total,68,7.5,"91,145",tt3513548,"$22,345,542",English
Black Christmas,1974,20 Dec 1974,98 min,"Horror, Mystery, Thriller",3 wins & 2 nominations,65,7.1,"43,766",tt0071222,N/A,English
6 Underground,2019,13 Dec 2019,128 min,"Action, Thriller",2 wins & 12 nominations,41,6.1,"183,119",tt8106534,N/A,"English, Turkmen, Cantonese, Italian, Spanish, Ukrainian, French"
Bombshell,2019,20 Dec 2019,109 min,"Biography, Drama",Won 1 Oscar. 25 wins & 63 nominations total,64,6.8,"119,326",tt6394270,"$31,762,808",English
Uncut Gems,2019,25 Dec 2019,135 min,"Crime, Drama, Thriller",27 wins & 94 nominations,91,7.4,"292,885",tt5727208,"$50,023,780","English, Hebrew"
Seberg,2019,15 May 2020,102 min,"Biography, Drama, Thriller",2 wins & 6 nominations,54,5.9,"9,479",tt1780967,"$434,702","English, French"
A Hidden Life,2019,17 Jan 2020,174 min,"Biography, Drama, Romance",10 wins & 32 nominations,78,7.4,"25,563",tt5827916,"$1,730,597","English, German, Italian"
Live from the Red Carpet of Star Wars: The Rise of Skywalker,2019,16 Dec 2019,126 min,N/A,N/A,N/A,N/A,N/A,tt11464830,N/A,English
Cats,2019,20 Dec 2019,110 min,"Comedy, Drama, Family",11 wins & 8 nominations,32,2.8,"52,975",tt5697572,"$27,166,770",English
Togo,2019,20 Dec 2019,113 min,"Adventure, Biography, Drama",1 win & 4 nominations,69,7.9,"51,272",tt5116302,N/A,English
Spies in Disguise,2019,25 Dec 2019,102 min,"Animation, Action, Adventure",4 nominations,54,6.8,"51,808",tt5814534,"$66,757,013","English, Japanese, Spanish, Korean"
Little Women,2019,25 Dec 2019,135 min,"Drama, Romance",Won 1 Oscar. 79 wins & 230 nominations total,91,7.8,"214,845",tt3281548,"$108,101,214","English, French"
1917,2019,10 Jan 2020,119 min,"Action, Drama, War",Won 3 Oscars. 135 wins & 206 nominations total,78,8.2,"611,746",tt8579674,"$159,227,644","English, French, German"
Just Mercy,2019,10 Jan 2020,137 min,"Biography, Crime, Drama",9 wins & 19 nominations,68,7.6,"70,711",tt4916630,"$36,001,502",English
Clemency,2019,24 Jan 2020,112 min,Drama,Nominated for 1 BAFTA Award3 wins & 32 nominations total,77,6.5,"4,895",tt5577494,"$364,716",English
The Grudge,2004,22 Oct 2004,91 min,"Horror, Mystery, Thriller",2 wins & 10 nominations,49,5.9,"147,152",tt0391198,"$110,359,362","English, Japanese"
Underwater,2020,10 Jan 2020,95 min,"Action, Horror, Sci-Fi",1 win & 5 nominations,48,5.8,"86,754",tt5774060,"$17,291,078",English
Like a Boss,2020,10 Jan 2020,83 min,Comedy,1 win & 5 nominations,33,4.7,"14,670",tt7545266,"$22,169,514","English, Spanish, French, Russian"
Three Christs,2017,03 Jan 2020,109 min,Drama,N/A,39,6.2,"3,395",tt5706370,"$36,723","English, French, Latin"
Inherit the Viper,2019,10 Jan 2020,90 min,Thriller,N/A,39,5.2,"1,678",tt7349896,N/A,English
The Sonata,2018,10 Jan 2020,90 min,"Music, Mystery, Thriller",2 wins & 10 nominations,41,5.2,"1,462",tt7149066,N/A,"English, French"
The Murder of Nicole Brown Simpson,2019,09 Dec 2019,82 min,"Crime, Horror, Mystery",N/A,N/A,2.5,"1,797",tt8415352,N/A,English
Bad Boys for Life,2020,17 Jan 2020,124 min,"Action, Comedy, Crime",3 wins & 15 nominations,59,6.5,"165,147",tt1502397,"$206,305,244","English, Spanish"
Dolittle,2020,17 Jan 2020,101 min,"Adventure, Comedy, Family",3 wins & 9 nominations,26,5.6,"66,712",tt6673612,"$77,047,065","English, French"
A Fall from Grace,2020,17 Jan 2020,120 min,Thriller,2 wins,34,5.9,"16,133",tt11390036,N/A,English
The Gentlemen,2019,24 Jan 2020,113 min,"Action, Comedy, Crime",1 win & 4 nominations,51,7.8,"354,892",tt8367814,"$36,471,795","English, Russian, Spanish, Chinese"
The Turning,2020,24 Jan 2020,94 min,"Drama, Horror, Mystery",1 nomination,35,3.9,"15,121",tt7510346,"$15,472,775",English
The Last Full Measure,2019,24 Jan 2020,116 min,"Drama, War",1 nomination,51,6.8,"12,723",tt0783640,"$2,949,212",English
John Henry,2020,24 Jan 2020,91 min,"Drama, Thriller",N/A,27,3.6,"2,432",tt8170298,N/A,English
The Rhythm Section,2020,31 Jan 2020,109 min,"Action, Drama, Mystery",2 wins & 3 nominations,45,5.4,"19,008",tt7134096,"$5,437,971","English, French, Arabic, Spanish"
Gretel,2012,16 May 2012,89 min,Fantasy,N/A,N/A,N/A,N/A,tt2145864,N/A,English
The Assistant,2019,31 Jan 2020,87 min,Drama,5 wins & 24 nominations,79,6.4,"23,806",tt9000224,"$1,100,313","English, Mandarin, Spanish"
Birds of Prey,2020,07 Feb 2020,109 min,"Action, Comedy, Crime",18 wins & 83 nominations,60,6.0,"246,393",tt7713068,"$84,172,791","English, Chinese"
