Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language
Furlough,2018,16 Mar 2018,83 min,"Comedy, Drama",N/A,N/A,5.5,"1,988",tt5291792,"$8,472",English
Josie,2018,16 Mar 2018,100 min,"Drama, Thriller",2 wins,31,5.2,"3,374",tt4682780,N/A,English
Flower,2017,16 Mar 2018,90 min,"Comedy, Drama",1 nomination,45,6.0,"9,702",tt2582784,"$328,188",English
Pacific Rim: Uprising,2018,23 Mar 2018,111 min,"Action, Adventure, Fantasy",6 nominations,44,5.6,"120,385",tt2557478,"$59,874,525","English, Mandarin, Russian"
Isle of Dogs,2018,13 Apr 2018,101 min,"Animation, Adventure, Comedy",Nominated for 2 Oscars. 34 wins & 94 nominations total,82,7.8,"174,962",tt5104604,"$32,015,231","English, Japanese"
Sherlock Gnomes,2018,23 Mar 2018,86 min,"Animation, Adventure, Comedy",1 win & 6 nominations,36,5.2,"13,063",tt2296777,"$43,242,871","English, Mandarin"
Unsane,2018,23 Mar 2018,98 min,"Drama, Horror, Mystery",1 win & 5 nominations,63,6.4,"47,770",tt7153766,"$7,732,899",English
"Paul, Apostle of Christ",2018,23 Mar 2018,108 min,"Adventure, Biography, Drama",5 wins & 5 nominations,52,6.6,"8,950",tt7388562,"$17,560,475",English
Final Portrait,2017,23 Mar 2018,90 min,"Biography, Comedy, Drama",1 nomination,70,6.3,"5,817",tt4494718,"$461,972","English, French, Italian"
Midnight Sun,2018,23 Mar 2018,91 min,"Drama, Romance",6 nominations,38,6.6,"33,083",tt4799066,"$9,561,064",English
Ready Player One,2018,29 Mar 2018,140 min,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. 11 wins & 56 nominations total,64,7.4,"448,973",tt1677720,"$137,715,350",English
God's Not Dead: A Light in Darkness,2018,30 Mar 2018,105 min,Drama,3 nominations,33,4.4,"4,186",tt6652708,"$5,728,940",English
Gemini,2017,30 Mar 2018,93 min,"Crime, Drama, Mystery",1 win & 5 nominations,71,5.4,"5,314",tt5795086,"$200,340",English
The Last Movie Star,2017,30 Mar 2018,94 min,Drama,3 wins & 2 nominations,46,7.0,"4,584",tt5836316,"$14,410",English
A Quiet Place,2018,06 Apr 2018,90 min,"Drama, Horror, Sci-Fi",Nominated for 1 Oscar. 35 wins & 126 nominations total,82,7.5,"542,991",tt6644200,"$188,024,361","American Sign , English"
Blockers,2018,06 Apr 2018,102 min,"Comedy, Drama",1 win & 6 nominations,69,6.2,"81,525",tt2531344,"$60,311,495",English
You Were Never Really Here,2017,06 Apr 2018,89 min,"Crime, Drama",Nominated for 1 BAFTA Award23 wins & 77 nominations total,84,6.7,"122,036",tt5742374,"$2,528,078",English
Chappaquiddick,2017,06 Apr 2018,106 min,"Biography, Drama, History",7 nominations,67,6.4,"13,919",tt5270948,"$17,395,520",English
Pandas,2018,06 Apr 2018,42 min,"Documentary, Short",1 win & 1 nomination,82,7.3,706,tt7860270,"$7,574,012",English
Lean on Pete,2017,04 May 2018,121 min,"Adventure, Drama, Sport",11 wins & 18 nominations,80,7.2,"13,233",tt5340300,"$1,163,056","English, Spanish"
The Miracle Season,2018,06 Apr 2018,101 min,"Drama, Sport",1 nomination,44,6.5,"5,772",tt5427194,"$10,230,620",English
Beirut,2018,11 Apr 2018,109 min,"Action, Crime, Drama",1 nomination,69,6.5,"23,345",tt4669264,"$5,019,226","English, Arabic, French"
Rampage,2018,13 Apr 2018,107 min,"Action, Adventure, Sci-Fi",7 nominations,45,6.1,"173,366",tt2231461,"$101,028,233","English, American Sign "
Truth or Dare,2018,13 Apr 2018,100 min,"Horror, Thriller",1 win & 2 nominations,35,5.2,"58,482",tt6772950,"$41,411,015","English, Spanish"
